DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke,POP,City,LAT,LONG
10.5,33.5,5.9,36.6,51.3,22.7,13.1,8.9,4.2,"5,656",AL,32.39334336,86.19957683
15.5,30.47,2.2,20.2,59.6,11,4.3,12.1,2.9,498,AL,33.46811809,-86.66718882
13.5,25.7,7.1,34.1,31.2,22.7,5.3,9.8,6.6,"2,630",AL,33.55213012,-86.72767595
9.6,42.7,4.5,32.4,33.1,15.1,3.5,9.5,3.7,"8,007",AL,33.37339198,-86.85349009
10.4,54.4,5.9,37,25.9,27.2,7.3,9.4,3.6,"4,223",AL,33.40194561,-86.83334933
14,28.1,10.1,28.3,43.2,15.5,11.2,12.6,5.5,"1,605",AL,32.37201753,-86.30879668
23.9,37,4.8,34.4,45.8,21.4,10.5,14.5,7.4,815,AL,33.67188487,-86.67725105
9.8,30.47,3.3,34.5,31.4,13.2,5.2,12.8,2.9,"1,724",AL,33.16508782,-87.56177804
10.81,31.6,8.9,29.1,31.5,20,7.9,12,9,"2,997",AL,34.76723497,-86.60219006
10.7,43,3.7,30.2,39.8,19.4,12.3,9.5,4.3,"7,190",AL,33.33917835,-86.88884607
16.6,37.1,10.7,37.8,41.6,11.8,8.1,13.6,3.1,"1,388",AL,32.36349242,-86.30812648
8.1,46,7.8,39.9,28.5,28.6,12.9,13.2,2.4,"5,063",AL,33.49690186,-86.89077294
13.5,33.8,6.6,38.2,55.1,11.3,6.3,9.3,8.1,"8,217",AL,32.31612749,-86.24886755
