DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
11.9,36.2,10.6,35,59.1,13.1,6.7,13.2,2.6
15.8,47,6.4,37,49.1,9,4.6,13.2,1.7
10.81,31.3,8.6,25.2,38.7,17.7,6.5,8.9,3.5
19.2,43.1,9.7,36.8,46.8,19.6,8.6,12.9,6.8
8.3,28.9,4.8,35.2,23.3,26.9,13,9.1,2.8
15.6,26,8.2,37.6,27.5,21.3,11,11.6,6.2
22.2,29.4,4.8,40.2,52,13.3,11.5,10.9,3.21
10.3,46.4,4.9,28.5,45.9,24.2,11.7,9.3,2.7
18.2,49.2,5.6,31.67,36.5,20.6,8.4,13.3,5
11.5,38.3,4.8,42.4,40.5,13.7,5.7,10.6,8.7
6.1,34.4,7,34.5,43.9,19.8,8.8,11.1,2.2
10.5,28.2,11.4,38.3,29.3,24.6,4.1,11.6,4.1
22.4,33.2,4.5,37,42.1,17.97,10.1,8.9,4.4
8.8,44.4,2,32.7,40.8,22.2,7.1,11.3,5.7
10.5,33.5,5.9,36.6,51.3,22.7,13.1,8.9,4.2
15.5,30.47,2.2,20.2,59.6,11,4.3,12.1,2.9
13.5,25.7,7.1,34.1,31.2,22.7,5.3,9.8,6.6
9.6,42.7,4.5,32.4,33.1,15.1,3.5,9.5,3.7
10.4,54.4,5.9,37,25.9,27.2,7.3,9.4,3.6
14,28.1,10.1,28.3,43.2,15.5,11.2,12.6,5.5
23.9,37,4.8,34.4,45.8,21.4,10.5,14.5,7.4
9.8,30.47,3.3,34.5,31.4,13.2,5.2,12.8,2.9
10.81,31.6,8.9,29.1,31.5,20,7.9,12,9
10.7,43,3.7,30.2,39.8,19.4,12.3,9.5,4.3
16.6,37.1,10.7,37.8,41.6,11.8,8.1,13.6,3.1
8.1,46,7.8,39.9,28.5,28.6,12.9,13.2,2.4
13.5,33.8,6.6,38.2,55.1,11.3,6.3,9.3,8.1
13.2,35.2,3.4,33.9,33.9,21,10,9.8,5.7
11.9,31.9,5.6,34.9,34.1,17.5,6.2,12.4,5.2
11.5,46,11.2,31.1,38.6,24,7,10.1,4.5
10.81,30.47,7.1,34.7,46.1,19.6,6.1,10.6,2.2
14.7,30.47,5.6,37.1,54.2,16.1,4.9,11.9,5.1
8.9,28.7,8.9,37.9,16.7,16,6.3,10.6,1.2
8.3,39.9,6.2,38.2,57,21.6,5.2,14,1.9
6.9,32.7,4.5,31.67,37,10.9,9.4,11.3,5.4
24.8,23.3,5.6,24.3,43.6,18.9,9.1,9.6,2.6
7.4,30.47,4.9,41.4,32.5,18.8,10.8,13.3,5.2
8.6,30.4,5,37,22.3,26.4,4.1,9.74,4.2
7.9,30.47,8.9,36.6,46.7,17.6,6.3,10.6,2.5
14.9,50.4,7.4,37.6,46.8,25,5.4,12.9,6.2
10.5,52.7,2.9,34.2,31.3,26.1,6.3,12.1,7.4
14.6,46.1,8.4,35.8,34.3,27.7,11.6,11.9,10
10.7,34.7,16.1,29.5,37.7,20.8,9.8,11.1,6.7
10,47.8,6,40.5,34.7,15.8,6.9,8.6,4.6
8.4,28.8,5.6,31.67,33,35,9.8,9.1,4
5.5,29.5,8.4,36.1,52.1,12.6,5.4,9.8,2.3
14.8,30.6,8.7,29.1,38.7,18,9.1,11.5,8
17.9,49.7,7.8,25.6,54.9,21.1,5.6,8.6,4.5
15.3,37,5.6,31.67,43.8,15.5,11.7,12.7,8.3
10.2,28.3,9.2,22.3,29.7,17.97,11.6,15,3.21
10.81,46.2,8.5,28.9,56.5,20.4,6.6,14.2,3.4
18.6,26,6.2,32.4,30.3,25.7,5.8,13.9,2.5
10.4,46,5.6,31.67,29.3,29,5.8,13.7,2
8.1,52.4,7.8,38.1,29.3,16,9.6,9.1,6.7
16,43.3,11.1,32,60.1,17.97,5.9,12.6,4.4
7.3,45.1,4.6,21.6,50.8,16.2,6.6,8.8,4.4
13.1,43.1,6.5,31.67,56.7,23.9,14.4,10,5.8
11.3,40.6,4.2,39.8,52.9,13.9,14.8,11.8,3.3
7.7,26,5.3,39.6,37.2,29.6,6.9,11.7,6.5
9.4,27.4,7.6,33.6,38.2,22,4.5,13.4,2.6
10.81,46.3,9.9,40.3,31.8,17.8,10.9,11,3.7
10.81,30.47,8.7,31.67,59.7,17.5,8.8,13.7,4.1
8.3,28.3,9.8,36.2,29.3,15.3,12.9,9.8,2.6
7.9,29.4,8.1,31.67,29.3,24.1,9.5,9.1,3.3
16.9,37.5,5.6,24.1,33.8,17.97,6.3,9.3,3.5
11.2,30.47,10.1,32.2,39.4,26.2,10.4,13.9,5.7
10.81,30.9,6,38.3,27.7,17.97,5.2,13.4,2.6
21.3,30.47,11,40.4,30.6,19.5,12.7,14,3.21
3.3,39.7,4.9,37.1,47.1,24.7,10.7,9.8,3.1
7.6,32.2,7.8,31.67,22.2,15.5,2.8,14.2,2.2
12.3,34,5.9,39.3,28.8,18.5,10.2,13.5,2.9
20.1,33.7,3.6,32.6,35.8,26.1,11.4,8.8,2.5
21.2,36.6,3.1,31.67,26.4,25.9,9.2,11.9,6.2
10.5,43.8,9.3,34.2,39.7,17.97,4.2,14,6.5
9.5,49.4,6.5,23.1,49.5,12,6.3,9.74,2.2
17,37.8,9.6,35.9,37.7,22.1,6,8.5,3.9
10.81,46.3,5.4,38,45.2,18.8,9.1,9.9,0.8
1.4,33.7,3.7,25.3,29.3,9.8,6.9,9.7,3.1
7,31.8,6.6,31.1,41.6,10.9,11.2,13,1.2
25,51.8,4.2,36.7,30.9,15.1,6.3,11.1,6
11.2,38.2,3.8,32.8,39.3,25.1,9.5,13.5,2.8
22.4,32.7,5.8,38.8,42.7,19.3,10.8,9.74,4.1
33.1,44.4,12.2,34.4,36.6,15.2,11.6,12,2.8
11.1,34.9,6.2,33.2,53.1,11.6,6.5,14.2,3.9
26.1,44.9,5,20.2,54.1,13.1,8.8,13.1,2.9
8.9,40.6,7.6,38.4,30.5,19.1,4.2,12.9,7.6
8.3,48,7.3,30.2,54.1,22,8,14.2,6.5
10.81,40.5,1.8,41.3,14,23,8.4,11.4,3.21
22.7,46.5,7.5,37.3,48.7,17,7.7,8.7,2.9
11,31.3,6,36.4,53.1,19.2,11,14.3,1.9
19.9,34.6,3.4,29.4,28.1,11.9,6.3,13.5,4.1
23.7,35.7,3.7,33.2,33,35.3,10.3,8.6,7
7.2,31,8.9,35.3,41.5,10.5,12.2,12.4,3.1
24.1,31.2,7.7,29,37.9,13,8.5,13.1,3.21
12,30.47,5.1,34.7,31.1,14.6,6.3,11.2,1.7
21.4,48.3,6,29.8,43.2,14.4,6.3,14.6,2.4
11.3,38.4,9.4,34.7,39,17.97,6.5,11.1,7.3
7.8,25.6,12.8,31.67,29.7,23.4,3.5,9.4,4.8
4.6,24.4,3.6,21.7,49.3,24.9,10.6,12.8,1.6
11.8,44.3,9.9,38,41,21.3,5.8,8.7,3.1
22.6,27.6,8.6,32,51.6,17.97,7,9.74,5.9
21,46.5,11.7,38.3,48.6,26.1,8.1,12.3,2.4
20.7,50.8,7.3,34,51.3,21.7,4.5,10.8,3.6
9,29.8,9.8,38.3,45.8,16.2,8.4,9.3,2
10.81,47.1,6.4,31.67,57.4,26,11.2,8.9,2.3
8.7,39.4,5.5,39.1,27.6,25,10.9,9.3,2.8
15.6,28.7,5,36.4,48.2,17.1,9.2,13.2,7.9
16,30,5.6,31.7,38.7,22.5,6.3,13,3.21
14.7,31.7,5.8,35.1,31,15.5,9.6,8.4,3.6
9.4,49.8,3.8,31.67,30.9,19.6,5,9.6,1.4
7.4,30.47,5.2,37.7,22.2,27.3,6.3,11.5,3.3
