Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,7.2,6.4,0.125,51.3,32.4,0.583333333,36.8,34.1,0.0792,24.4,30.1,-0.189368771,9.2,10.8,-0.148148148,4.6
2017Centract,7.9,6.4,0.234375,56,32.4,0.728395062,39.1,34.1,0.1466,30.4,30.1,0.009966777,18.8,10.8,0.740740741,6.8
2017Centract,11.4,6.4,0.78125,20.8,32.4,-0.358024691,38.4,34.1,0.1261,36.1,30.1,0.199335548,15.3,10.8,0.416666667,2.4
2017Centract,5,6.4,-0.21875,56.8,32.4,0.75308642,35.3,34.1,0.0352,52.7,30.1,0.750830565,4.8,10.8,-0.555555556,2.7
2017Centract,8.4,6.4,0.3125,33,32.4,0.018518519,29.3,34.1,-0.1408,42.9,30.1,0.425249169,16.4,10.8,0.518518519,4.3
2017Centract,4.3,6.4,-0.328125,28.5,32.4,-0.12037037,36,34.1,0.0557,39.8,30.1,0.322259136,19.2,10.8,0.777777778,2
2017Centract,6.2,6.4,-0.03125,32.2,32.4,-0.00617284,37.2,34.1,0.0909,45.8,30.1,0.521594684,14,10.8,0.296296296,5.3
2017Centract,4.5,6.4,-0.296875,50.8,32.4,0.567901235,35.7,34.1,0.0469,35.4,30.1,0.176079734,13.8,10.8,0.277777778,2.7
2017Centract,6.9,6.4,0.078125,28.3,32.4,-0.12654321,28.3,34.1,-0.1701,36.3,30.1,0.205980066,14.7,10.8,0.361111111,5.3
2017Centract,2.7,6.4,-0.578125,58.4,32.4,0.802469136,25.6,34.1,-0.2493,23.2,30.1,-0.22923588,15.3,10.8,0.416666667,2.9
2017Centract,9.7,6.4,0.515625,56.8,32.4,0.75308642,37.8,34.1,0.1085,23.4,30.1,-0.222591362,8,10.8,-0.259259259,1.6
2017Centract,8.9,6.4,0.390625,37.5,32.4,0.157407407,37.8,34.1,0.1085,30.8,30.1,0.023255814,17.1,10.8,0.583333333,5.1
2017Centract,5.1,6.4,-0.203125,54.4,32.4,0.679012346,25.6,34.1,-0.2493,24.3,30.1,-0.19269103,18.7,10.8,0.731481481,6.3
2017Centract,7.9,6.4,0.234375,49.9,32.4,0.540123457,34.2,34.1,0.0029,41.1,30.1,0.365448505,13.4,10.8,0.240740741,2.3
2017Centract,5.4,6.4,-0.15625,45.5,32.4,0.404320988,37.9,34.1,0.1114,42.7,30.1,0.418604651,16.4,10.8,0.518518519,1.8
2017Centract,9.9,6.4,0.546875,53.1,32.4,0.638888889,39.6,34.1,0.1613,25.4,30.1,-0.156146179,10.7,10.8,-0.009259259,1.3
2017Centract,5.7,6.4,-0.109375,39.7,32.4,0.225308642,13.1,34.1,-0.6158,27.5,30.1,-0.086378738,10.6,10.8,-0.018518519,1.9
2017Centract,4.6,6.4,-0.28125,36.2,32.4,0.117283951,31.4,34.1,-0.0792,25.8,30.1,-0.142857143,9.6,10.8,-0.111111111,4.6
2017Centract,4.3,6.4,-0.328125,44.9,32.4,0.385802469,30.7,34.1,-0.0997,40.4,30.1,0.342192691,11.3,10.8,0.046296296,2.9
