HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
4.2,6.4,-0.34375,24.2,32.4,-0.25308642,27.6,34.1,-0.190615836,20.3,30.1,-0.325581395,5,10.8,-0.537037037,3.1
5.2,6.4,-0.1875,25.6,32.4,-0.209876543,29.6,34.1,-0.131964809,18.9,30.1,-0.372093023,11.9,10.8,0.101851852,4.3
5,6.4,-0.21875,27.6,32.4,-0.148148148,30.7,34.1,-0.099706745,24.2,30.1,-0.196013289,2.3,10.8,-0.787037037,3.3
5.7,6.4,-0.109375,26.9,32.4,-0.169753086,31.3,34.1,-0.082111437,34.5,30.1,0.146179402,13.7,10.8,0.268518519,3.5
3,6.4,-0.53125,37.8,32.4,0.166666667,33.1,34.1,-0.029325513,24.4,30.1,-0.189368771,3.1,10.8,-0.712962963,3.1
4.3,6.4,-0.328125,30.5,32.4,-0.058641975,33,34.1,-0.032258065,18.6,30.1,-0.382059801,19.2,10.8,0.777777778,2.9
5.5,6.4,-0.140625,24,32.4,-0.259259259,33.5,34.1,-0.017595308,21,30.1,-0.302325581,8.5,10.8,-0.212962963,2.9
3.8,6.4,-0.40625,20.4,32.4,-0.37037037,32.4,34.1,-0.049853372,34.9,30.1,0.159468439,10.6,10.8,-0.018518519,2.1
5.1,6.4,-0.203125,26.9,32.4,-0.169753086,28,34.1,-0.17888563,24,30.1,-0.202657807,17.2,10.8,0.592592593,2.9
5.5,6.4,-0.140625,26.3,32.4,-0.188271605,33.1,34.1,-0.029325513,27.8,30.1,-0.07641196,17.5,10.8,0.62037037,2.3
4.6,6.4,-0.28125,29,32.4,-0.104938272,29.4,34.1,-0.137829912,30.3,30.1,0.006644518,9.8,10.8,-0.092592593,1.9
5.5,6.4,-0.140625,24.1,32.4,-0.25617284,27.5,34.1,-0.193548387,19.4,30.1,-0.355481728,4.4,10.8,-0.592592593,3
6.7,6.4,0.046875,29,32.4,-0.104938272,31.3,34.1,-0.082111437,20.1,30.1,-0.332225914,3.5,10.8,-0.675925926,2.5
4.7,6.4,-0.265625,26.8,32.4,-0.172839506,29,34.1,-0.149560117,17,30.1,-0.435215947,9,10.8,-0.166666667,2.9
3.9,6.4,-0.390625,29.8,32.4,-0.080246914,26.2,34.1,-0.231671554,31.9,30.1,0.059800664,8.5,10.8,-0.212962963,2.1
3.8,6.4,-0.40625,21.6,32.4,-0.333333333,30.9,34.1,-0.093841642,35.4,30.1,0.176079734,4.4,10.8,-0.592592593,2.6
4.5,6.4,-0.296875,25.7,32.4,-0.206790123,27.5,34.1,-0.193548387,19,30.1,-0.368770764,11.9,10.8,0.101851852,2.2
6.4,6.4,0,25.6,32.4,-0.209876543,31.6,34.1,-0.073313783,26.4,30.1,-0.122923588,11.7,10.8,0.083333333,4.7
5.5,6.4,-0.140625,30.7,32.4,-0.052469136,32.8,34.1,-0.038123167,28.1,30.1,-0.066445183,8,10.8,-0.259259259,2.5
1.6,6.4,-0.75,29.7,32.4,-0.083333333,30.6,34.1,-0.102639296,25.9,30.1,-0.139534884,9.4,10.8,-0.12962963,1.2
3.2,6.4,-0.5,35.5,32.4,0.095679012,29.7,34.1,-0.129032258,21.3,30.1,-0.292358804,4.6,10.8,-0.574074074,2.1
5,6.4,-0.21875,25.5,32.4,-0.212962963,24,34.1,-0.296187683,20.6,30.1,-0.315614618,8.6,10.8,-0.203703704,3
5.1,6.4,-0.203125,20.3,32.4,-0.37345679,31.4,34.1,-0.079178886,27.3,30.1,-0.093023256,14,10.8,0.296296296,3.7
5,6.4,-0.21875,25.4,32.4,-0.216049383,34.6,34.1,0.014662757,18.8,30.1,-0.375415282,18.7,10.8,0.731481481,2.4
8.2,6.4,0.28125,26.7,32.4,-0.175925926,31.6,34.1,-0.073313783,19.6,30.1,-0.348837209,20.7,10.8,0.916666667,2.7
5.5,6.4,-0.140625,26.2,32.4,-0.191358025,31.3,34.1,-0.082111437,23.9,30.1,-0.205980066,9.3,10.8,-0.138888889,3.9
5.3,6.4,-0.171875,14.7,32.4,-0.546296296,28.9,34.1,-0.152492669,19.2,30.1,-0.362126246,17.6,10.8,0.62962963,4.1
6,6.4,-0.0625,27.1,32.4,-0.163580247,32.3,34.1,-0.052785924,21.3,30.1,-0.292358804,17.1,10.8,0.583333333,4.3
5.9,6.4,-0.078125,20.2,32.4,-0.37654321,35.1,34.1,0.029325513,20.2,30.1,-0.328903654,20.4,10.8,0.888888889,4.3
2.7,6.4,-0.578125,26,32.4,-0.197530864,30.5,34.1,-0.105571848,31.5,30.1,0.046511628,13.7,10.8,0.268518519,3.6
5.7,6.4,-0.109375,24.3,32.4,-0.25,32.9,34.1,-0.035190616,23.7,30.1,-0.212624585,8.7,10.8,-0.194444444,1.9
6,6.4,-0.0625,25,32.4,-0.228395062,29.3,34.1,-0.140762463,19.7,30.1,-0.34551495,12.9,10.8,0.194444444,1.9
3.1,6.4,-0.515625,26.1,32.4,-0.194444444,30.9,34.1,-0.093841642,32.5,30.1,0.079734219,14.1,10.8,0.305555556,2.8
4.2,6.4,-0.34375,21.8,32.4,-0.327160494,31.4,34.1,-0.079178886,23.6,30.1,-0.215946844,13.6,10.8,0.259259259,1.8
4.5,6.4,-0.296875,26.1,32.4,-0.194444444,30.9,34.1,-0.093841642,17.8,30.1,-0.408637874,7.7,10.8,-0.287037037,1.8
4.8,6.4,-0.25,29.7,32.4,-0.083333333,41.1,34.1,0.205278592,26.4,30.1,-0.122923588,14.2,10.8,0.314814815,3.2
3.8,6.4,-0.40625,25.8,32.4,-0.203703704,32.2,34.1,-0.055718475,33.1,30.1,0.099667774,2.4,10.8,-0.777777778,2.8
5.5,6.4,-0.140625,28,32.4,-0.135802469,36.3,34.1,0.064516129,26.5,30.1,-0.119601329,8.8,10.8,-0.185185185,2.2
5.7,6.4,-0.109375,24.8,32.4,-0.234567901,30.5,34.1,-0.105571848,14.8,30.1,-0.508305648,10.7,10.8,-0.009259259,3.5
4,6.4,-0.375,25.3,32.4,-0.219135802,34,34.1,-0.002932551,20.4,30.1,-0.322259136,12.6,10.8,0.166666667,3.2
6.4,6.4,0,25.9,32.4,-0.200617284,35.4,34.1,0.038123167,17.7,30.1,-0.411960133,7.2,10.8,-0.333333333,3.3
4.9,6.4,-0.234375,23.8,32.4,-0.265432099,33.5,34.1,-0.017595308,18.9,30.1,-0.372093023,10.5,10.8,-0.027777778,2.4
6.1,6.4,-0.046875,20.5,32.4,-0.367283951,32.8,34.1,-0.038123167,23.8,30.1,-0.209302326,11.3,10.8,0.046296296,3.1
5.2,6.4,-0.1875,22.9,32.4,-0.293209877,22.3,34.1,-0.346041056,22.1,30.1,-0.265780731,9.2,10.8,-0.148148148,3.4
4.6,6.4,-0.28125,29.6,32.4,-0.086419753,31.6,34.1,-0.073313783,22.7,30.1,-0.245847176,2.7,10.8,-0.75,3.3
5.4,6.4,-0.15625,36.2,32.4,0.117283951,29.8,34.1,-0.126099707,19.9,30.1,-0.338870432,18,10.8,0.666666667,2.9
3.9,6.4,-0.390625,26.5,32.4,-0.182098765,33.3,34.1,-0.023460411,19.7,30.1,-0.34551495,5.6,10.8,-0.481481481,2.6
5.4,6.4,-0.15625,28.1,32.4,-0.132716049,32.5,34.1,-0.046920821,26.7,30.1,-0.112956811,5.7,10.8,-0.472222222,3.9
4.1,6.4,-0.359375,26.3,32.4,-0.188271605,25.9,34.1,-0.240469208,26.2,30.1,-0.129568106,6.7,10.8,-0.37962963,3.1
5.8,6.4,-0.09375,25.6,32.4,-0.209876543,22,34.1,-0.35483871,27.5,30.1,-0.086378738,17.1,10.8,0.583333333,4.3
5.2,6.4,-0.1875,29.9,32.4,-0.077160494,36.9,34.1,0.082111437,29.8,30.1,-0.009966777,8.4,10.8,-0.222222222,2.3
4.1,6.4,-0.359375,21.5,32.4,-0.336419753,31.6,34.1,-0.073313783,34.7,30.1,0.15282392,17.3,10.8,0.601851852,1.8
4.1,6.4,-0.359375,26.2,32.4,-0.191358025,33.2,34.1,-0.026392962,23.7,30.1,-0.212624585,10,10.8,-0.074074074,4
3.8,6.4,-0.40625,24.6,32.4,-0.240740741,28.6,34.1,-0.161290323,32.7,30.1,0.086378738,9.8,10.8,-0.092592593,2.7
4.8,6.4,-0.25,16.9,32.4,-0.478395062,31.9,34.1,-0.064516129,27,30.1,-0.102990033,3.8,10.8,-0.648148148,2.1
3.8,6.4,-0.40625,20.5,32.4,-0.367283951,34.9,34.1,0.023460411,31.2,30.1,0.03654485,8.4,10.8,-0.222222222,3.7
4.7,6.4,-0.265625,24.7,32.4,-0.237654321,30.6,34.1,-0.102639296,24.3,30.1,-0.19269103,20.1,10.8,0.861111111,2.9
3.9,6.4,-0.390625,29.4,32.4,-0.092592593,33.5,34.1,-0.017595308,23.1,30.1,-0.23255814,16.7,10.8,0.546296296,3.1
6.4,6.4,0,26.3,32.4,-0.188271605,33.1,34.1,-0.029325513,34,30.1,0.129568106,5.5,10.8,-0.490740741,2.2
4.7,6.4,-0.265625,26.6,32.4,-0.179012346,31.1,34.1,-0.08797654,24.7,30.1,-0.179401993,13.5,10.8,0.25,4.6
6.5,6.4,0.015625,27.4,32.4,-0.154320988,36.4,34.1,0.06744868,20.7,30.1,-0.312292359,25.2,10.8,1.333333333,2.6
5,6.4,-0.21875,21.8,32.4,-0.327160494,35.7,34.1,0.046920821,32,30.1,0.063122924,16.7,10.8,0.546296296,3.3
5.2,6.4,-0.1875,24.6,32.4,-0.240740741,29.7,34.1,-0.129032258,32.5,30.1,0.079734219,10.8,10.8,0,2.1
5.2,6.4,-0.1875,28.1,32.4,-0.132716049,33.2,34.1,-0.026392962,34,30.1,0.129568106,7.7,10.8,-0.287037037,4.2
5.4,6.4,-0.15625,22.8,32.4,-0.296296296,32,34.1,-0.061583578,20.1,30.1,-0.332225914,7.5,10.8,-0.305555556,2.7
5.3,6.4,-0.171875,29.3,32.4,-0.095679012,35.5,34.1,0.041055718,25.3,30.1,-0.159468439,4.6,10.8,-0.574074074,2.7
5.2,6.4,-0.1875,21,32.4,-0.351851852,29.9,34.1,-0.123167155,19.4,30.1,-0.355481728,19.1,10.8,0.768518519,2.9
6.2,6.4,-0.03125,25.9,32.4,-0.200617284,44.8,34.1,0.313782991,22.4,30.1,-0.255813953,11.7,10.8,0.083333333,4
3.4,6.4,-0.46875,40.3,32.4,0.24382716,29.5,34.1,-0.134897361,21.3,30.1,-0.292358804,13.8,10.8,0.277777778,5.7
5.1,6.4,-0.203125,27.1,32.4,-0.163580247,31.8,34.1,-0.06744868,25.3,30.1,-0.159468439,13.2,10.8,0.222222222,2.7
4,6.4,-0.375,19,32.4,-0.413580247,30.5,34.1,-0.105571848,30.2,30.1,0.003322259,11.6,10.8,0.074074074,2.5
4.3,6.4,-0.328125,24.6,32.4,-0.240740741,32,34.1,-0.061583578,35,30.1,0.162790698,15.6,10.8,0.444444444,3.4
5.4,6.4,-0.15625,22,32.4,-0.320987654,29.4,34.1,-0.137829912,18.8,30.1,-0.375415282,19.3,10.8,0.787037037,2.2
4.5,6.4,-0.296875,23.5,32.4,-0.274691358,28.6,34.1,-0.161290323,24.8,30.1,-0.176079734,9.4,10.8,-0.12962963,2.4
4.9,6.4,-0.234375,24.5,32.4,-0.24382716,33.4,34.1,-0.020527859,19.6,30.1,-0.348837209,9.9,10.8,-0.083333333,4.8
4.1,6.4,-0.359375,50.7,32.4,0.564814815,33.2,34.1,-0.026392962,27.2,30.1,-0.096345515,5.4,10.8,-0.5,2.7
4.8,6.4,-0.25,23.8,32.4,-0.265432099,32.3,34.1,-0.052785924,34.5,30.1,0.146179402,13,10.8,0.203703704,2.7
5.5,6.4,-0.140625,25.6,32.4,-0.209876543,33.4,34.1,-0.020527859,29,30.1,-0.03654485,11.4,10.8,0.055555556,2.5
4.4,6.4,-0.3125,18.3,32.4,-0.435185185,29.6,34.1,-0.131964809,26.1,30.1,-0.132890365,2.9,10.8,-0.731481481,3.3
6.1,6.4,-0.046875,31.9,32.4,-0.015432099,32.6,34.1,-0.04398827,24.3,30.1,-0.19269103,18.7,10.8,0.731481481,2.8
5.2,6.4,-0.1875,26.4,32.4,-0.185185185,30.9,34.1,-0.093841642,28,30.1,-0.069767442,19.4,10.8,0.796296296,3.4
4.5,6.4,-0.296875,21.7,32.4,-0.330246914,36.8,34.1,0.079178886,34.6,30.1,0.149501661,17.6,10.8,0.62962963,2.5
3.8,6.4,-0.40625,25.2,32.4,-0.222222222,31.8,34.1,-0.06744868,22.2,30.1,-0.262458472,15,10.8,0.388888889,1.7
6.1,6.4,-0.046875,31.9,32.4,-0.015432099,29.4,34.1,-0.137829912,19.9,30.1,-0.338870432,15.6,10.8,0.444444444,2.1
5.6,6.4,-0.125,25.8,32.4,-0.203703704,35.2,34.1,0.032258065,20.7,30.1,-0.312292359,7.4,10.8,-0.314814815,2.9
4.8,6.4,-0.25,33.5,32.4,0.033950617,34,34.1,-0.002932551,18.3,30.1,-0.392026578,18.3,10.8,0.694444444,2.7
4,6.4,-0.375,27.3,32.4,-0.157407407,30.6,34.1,-0.102639296,26.1,30.1,-0.132890365,7.8,10.8,-0.277777778,2.9
4.5,6.4,-0.296875,18.5,32.4,-0.429012346,30.5,34.1,-0.105571848,29.4,30.1,-0.023255814,7.6,10.8,-0.296296296,2.5
5.9,6.4,-0.078125,23.6,32.4,-0.271604938,29.7,34.1,-0.129032258,28.3,30.1,-0.059800664,16.5,10.8,0.527777778,3
5.2,6.4,-0.1875,24.1,32.4,-0.25617284,30.3,34.1,-0.11143695,28.4,30.1,-0.056478405,14.1,10.8,0.305555556,3.4
2,6.4,-0.6875,25.2,32.4,-0.222222222,28.6,34.1,-0.161290323,26.9,30.1,-0.106312292,9.2,10.8,-0.148148148,1.4
6.2,6.4,-0.03125,25.8,32.4,-0.203703704,35.7,34.1,0.046920821,18.4,30.1,-0.388704319,15,10.8,0.388888889,2.9
4.1,6.4,-0.359375,28.5,32.4,-0.12037037,35.5,34.1,0.041055718,19.7,30.1,-0.34551495,10,10.8,-0.074074074,2.4
4.8,6.4,-0.25,25.6,32.4,-0.209876543,32,34.1,-0.061583578,39.9,30.1,0.325581395,10,10.8,-0.074074074,3.5
3.6,6.4,-0.4375,22.9,32.4,-0.293209877,27.1,34.1,-0.205278592,30.1,30.1,0,17.6,10.8,0.62962963,2.2
4.7,6.4,-0.265625,24.2,32.4,-0.25308642,36,34.1,0.055718475,33.1,30.1,0.099667774,5.4,10.8,-0.5,1.6
5.3,6.4,-0.171875,23.5,32.4,-0.274691358,25.8,34.1,-0.24340176,30.9,30.1,0.026578073,17.2,10.8,0.592592593,2.4
4.6,6.4,-0.28125,23.5,32.4,-0.274691358,35.6,34.1,0.04398827,18.4,30.1,-0.388704319,14.6,10.8,0.351851852,2.1
7,6.4,0.09375,31.7,32.4,-0.021604938,32.5,34.1,-0.046920821,20.2,30.1,-0.328903654,16,10.8,0.481481481,2.8
5.2,6.4,-0.1875,24.5,32.4,-0.24382716,27.5,34.1,-0.193548387,23.2,30.1,-0.22923588,16,10.8,0.481481481,3.4
6.1,6.4,-0.046875,23.6,32.4,-0.271604938,30.6,34.1,-0.102639296,34.5,30.1,0.146179402,20.6,10.8,0.907407407,2
5.3,6.4,-0.171875,29.1,32.4,-0.101851852,29.1,34.1,-0.146627566,21.9,30.1,-0.272425249,16.8,10.8,0.555555556,2.7
4,6.4,-0.375,23.8,32.4,-0.265432099,40.3,34.1,0.181818182,29.1,30.1,-0.033222591,8.4,10.8,-0.222222222,3.6
4,6.4,-0.375,22.5,32.4,-0.305555556,31.3,34.1,-0.082111437,18.4,30.1,-0.388704319,8.6,10.8,-0.203703704,2.9
5.1,6.4,-0.203125,26.3,32.4,-0.188271605,32.8,34.1,-0.038123167,18.7,30.1,-0.378737542,7.8,10.8,-0.277777778,2.7
4.1,6.4,-0.359375,21.5,32.4,-0.336419753,32,34.1,-0.061583578,28.1,30.1,-0.066445183,10.2,10.8,-0.055555556,2.2
6.2,6.4,-0.03125,24.4,32.4,-0.24691358,30.2,34.1,-0.114369501,26.3,30.1,-0.126245847,15.2,10.8,0.407407407,2.3
5.3,6.4,-0.171875,30.5,32.4,-0.058641975,30.4,34.1,-0.108504399,21.1,30.1,-0.299003322,15.3,10.8,0.416666667,3.5
3.7,6.4,-0.421875,24.5,32.4,-0.24382716,32.1,34.1,-0.058651026,20.2,30.1,-0.328903654,8,10.8,-0.259259259,2.6
4.9,6.4,-0.234375,25.7,32.4,-0.206790123,32,34.1,-0.061583578,32.2,30.1,0.069767442,10.8,10.8,0,4
4.5,6.4,-0.296875,27.9,32.4,-0.138888889,36.1,34.1,0.058651026,28.1,30.1,-0.066445183,13.2,10.8,0.222222222,2.7
6.9,6.4,0.078125,25.8,32.4,-0.203703704,27.9,34.1,-0.181818182,23.6,30.1,-0.215946844,12.7,10.8,0.175925926,2.9
4,6.4,-0.375,30.6,32.4,-0.055555556,30.6,34.1,-0.102639296,32.2,30.1,0.069767442,9.8,10.8,-0.092592593,2
4.1,6.4,-0.359375,21.8,32.4,-0.327160494,30.1,34.1,-0.117302053,27.4,30.1,-0.089700997,9.8,10.8,-0.092592593,2.7
7,6.4,0.09375,27,32.4,-0.166666667,25.2,34.1,-0.260997067,36.3,30.1,0.205980066,9.4,10.8,-0.12962963,3.3
5.4,6.4,-0.15625,27.3,32.4,-0.157407407,29.5,34.1,-0.134897361,23.2,30.1,-0.22923588,6.9,10.8,-0.361111111,3.8
4,6.4,-0.375,25.7,32.4,-0.206790123,30.7,34.1,-0.099706745,30.2,30.1,0.003322259,12.8,10.8,0.185185185,2.5
3.5,6.4,-0.453125,24.2,32.4,-0.25308642,29.2,34.1,-0.143695015,31.3,30.1,0.03986711,6.8,10.8,-0.37037037,3.7
4.8,6.4,-0.25,25.7,32.4,-0.206790123,29.8,34.1,-0.126099707,27.8,30.1,-0.07641196,4.6,10.8,-0.574074074,2.4
4.7,6.4,-0.265625,15.6,32.4,-0.518518519,30.6,34.1,-0.102639296,27.6,30.1,-0.083056478,17.5,10.8,0.62037037,3.1
4.1,6.4,-0.359375,23.4,32.4,-0.277777778,32,34.1,-0.061583578,30.3,30.1,0.006644518,15.8,10.8,0.462962963,2.5
3.2,6.4,-0.5,25.6,32.4,-0.209876543,26.3,34.1,-0.228739003,20.1,30.1,-0.332225914,8.3,10.8,-0.231481481,1.6
5.3,6.4,-0.171875,26.4,32.4,-0.185185185,32.4,34.1,-0.049853372,16.2,30.1,-0.46179402,8.4,10.8,-0.222222222,2.6
5.1,6.4,-0.203125,26.5,32.4,-0.182098765,31.3,34.1,-0.082111437,17.9,30.1,-0.405315615,6.9,10.8,-0.361111111,3.6
5,6.4,-0.21875,36,32.4,0.111111111,35.5,34.1,0.041055718,20.8,30.1,-0.3089701,16.4,10.8,0.518518519,2.5
4.7,6.4,-0.265625,21.6,32.4,-0.333333333,27.2,34.1,-0.202346041,27.2,30.1,-0.096345515,26.5,10.8,1.453703704,2
5,6.4,-0.21875,27.3,32.4,-0.157407407,31.4,34.1,-0.079178886,28,30.1,-0.069767442,3.7,10.8,-0.657407407,2.6
4.5,6.4,-0.296875,22.1,32.4,-0.317901235,31,34.1,-0.090909091,23.7,30.1,-0.212624585,11.3,10.8,0.046296296,2.8
5.4,6.4,-0.15625,22,32.4,-0.320987654,32.7,34.1,-0.041055718,16.3,30.1,-0.458471761,7.3,10.8,-0.324074074,1.8
7.3,6.4,0.140625,25.3,32.4,-0.219135802,31.9,34.1,-0.064516129,21.3,30.1,-0.292358804,4,10.8,-0.62962963,3.2
5,6.4,-0.21875,24.3,32.4,-0.25,32.3,34.1,-0.052785924,29.2,30.1,-0.029900332,8.7,10.8,-0.194444444,2.1
5.6,6.4,-0.125,26.7,32.4,-0.175925926,30.2,34.1,-0.114369501,26.7,30.1,-0.112956811,12,10.8,0.111111111,2.4
5.4,6.4,-0.15625,23.6,32.4,-0.271604938,27.2,34.1,-0.202346041,19.8,30.1,-0.342192691,9.3,10.8,-0.138888889,1.7
5.4,6.4,-0.15625,21.7,32.4,-0.330246914,31.9,34.1,-0.064516129,21.5,30.1,-0.285714286,9.7,10.8,-0.101851852,2.2
4.7,6.4,-0.265625,19.8,32.4,-0.388888889,33.7,34.1,-0.011730205,28.2,30.1,-0.063122924,17.9,10.8,0.657407407,3.7
6.9,6.4,0.078125,26.4,32.4,-0.185185185,30.3,34.1,-0.11143695,33.6,30.1,0.11627907,16.7,10.8,0.546296296,1.3
4,6.4,-0.375,34.6,32.4,0.067901235,34.7,34.1,0.017595308,14.8,30.1,-0.508305648,11.5,10.8,0.064814815,2.3
5.9,6.4,-0.078125,23.5,32.4,-0.274691358,33.2,34.1,-0.026392962,34.6,30.1,0.149501661,12.5,10.8,0.157407407,3.3
3.1,6.4,-0.515625,25.2,32.4,-0.222222222,26.3,34.1,-0.228739003,25,30.1,-0.169435216,5.3,10.8,-0.509259259,2.1
6.6,6.4,0.03125,25.5,32.4,-0.212962963,30.1,34.1,-0.117302053,26.1,30.1,-0.132890365,18.4,10.8,0.703703704,2.4
4.5,6.4,-0.296875,26.3,32.4,-0.188271605,29.6,34.1,-0.131964809,25,30.1,-0.169435216,9.4,10.8,-0.12962963,2.4
6,6.4,-0.0625,27.4,32.4,-0.154320988,35.7,34.1,0.046920821,30.1,30.1,0,12.9,10.8,0.194444444,3.7
3.1,6.4,-0.515625,28,32.4,-0.135802469,29.1,34.1,-0.146627566,26.5,30.1,-0.119601329,19,10.8,0.759259259,4.7
4.7,6.4,-0.265625,33.2,32.4,0.024691358,35.1,34.1,0.029325513,26.9,30.1,-0.106312292,12.6,10.8,0.166666667,3
4.6,6.4,-0.28125,25.3,32.4,-0.219135802,31.6,34.1,-0.073313783,25.1,30.1,-0.166112957,14.4,10.8,0.333333333,3.3
4.6,6.4,-0.28125,26.9,32.4,-0.169753086,30.3,34.1,-0.11143695,25.2,30.1,-0.162790698,6.5,10.8,-0.398148148,0.7
3.4,6.4,-0.46875,19.9,32.4,-0.385802469,33.2,34.1,-0.026392962,30.9,30.1,0.026578073,8.3,10.8,-0.231481481,4.1
5.6,6.4,-0.125,26.9,32.4,-0.169753086,43.4,34.1,0.272727273,31.7,30.1,0.053156146,10.7,10.8,-0.009259259,1.8
6,6.4,-0.0625,22.6,32.4,-0.302469136,31.6,34.1,-0.073313783,24.7,30.1,-0.179401993,17.7,10.8,0.638888889,2.6
4.8,6.4,-0.25,16.1,32.4,-0.50308642,29.5,34.1,-0.134897361,26.3,30.1,-0.126245847,2.6,10.8,-0.759259259,1.9
6.1,6.4,-0.046875,29.1,32.4,-0.101851852,30.2,34.1,-0.114369501,18.2,30.1,-0.395348837,16.8,10.8,0.555555556,4.3
4.5,6.4,-0.296875,23.7,32.4,-0.268518519,33.1,34.1,-0.029325513,20.6,30.1,-0.315614618,10.9,10.8,0.009259259,2.1
4.5,6.4,-0.296875,24.3,32.4,-0.25,32.1,34.1,-0.058651026,22.6,30.1,-0.249169435,10.1,10.8,-0.064814815,1.6
4,6.4,-0.375,23.8,32.4,-0.265432099,31.7,34.1,-0.070381232,29.1,30.1,-0.033222591,12.2,10.8,0.12962963,2.5
3.4,6.4,-0.46875,29.5,32.4,-0.089506173,28.4,34.1,-0.167155425,19.8,30.1,-0.342192691,9.1,10.8,-0.157407407,2.7
4.8,6.4,-0.25,22.2,32.4,-0.314814815,29.8,34.1,-0.126099707,27.1,30.1,-0.099667774,4.7,10.8,-0.564814815,3.9
5.4,6.4,-0.15625,35,32.4,0.080246914,35.6,34.1,0.04398827,21.9,30.1,-0.272425249,9.9,10.8,-0.083333333,2.9
4.3,6.4,-0.328125,29.5,32.4,-0.089506173,29.3,34.1,-0.140762463,24.7,30.1,-0.179401993,16.4,10.8,0.518518519,2.6
5.9,6.4,-0.078125,23.7,32.4,-0.268518519,29,34.1,-0.149560117,23.6,30.1,-0.215946844,12.8,10.8,0.185185185,2.6
4.5,6.4,-0.296875,26.6,32.4,-0.179012346,27.6,34.1,-0.190615836,21.2,30.1,-0.295681063,18.6,10.8,0.722222222,2.8
4.2,6.4,-0.34375,23.7,32.4,-0.268518519,30.8,34.1,-0.096774194,16.5,30.1,-0.451827243,3.7,10.8,-0.657407407,4
4.2,6.4,-0.34375,29,32.4,-0.104938272,34.9,34.1,0.023460411,19.5,30.1,-0.352159468,15.4,10.8,0.425925926,1.9
5.3,6.4,-0.171875,26.1,32.4,-0.194444444,30.7,34.1,-0.099706745,29.4,30.1,-0.023255814,2,10.8,-0.814814815,1
4.5,6.4,-0.296875,31.1,32.4,-0.040123457,30,34.1,-0.120234604,21,30.1,-0.302325581,6.9,10.8,-0.361111111,2.3
4.6,6.4,-0.28125,25.9,32.4,-0.200617284,31.2,34.1,-0.085043988,30.8,30.1,0.023255814,11.4,10.8,0.055555556,3.7
6,6.4,-0.0625,20.3,32.4,-0.37345679,34.2,34.1,0.002932551,29.4,30.1,-0.023255814,21,10.8,0.944444444,3.6
5.3,6.4,-0.171875,30.3,32.4,-0.064814815,28.3,34.1,-0.170087977,20.9,30.1,-0.305647841,18.8,10.8,0.740740741,2.3
3.3,6.4,-0.484375,22,32.4,-0.320987654,33.6,34.1,-0.014662757,29.6,30.1,-0.016611296,8.6,10.8,-0.203703704,2.8
3.4,6.4,-0.46875,41.2,32.4,0.271604938,32.9,34.1,-0.035190616,26.2,30.1,-0.129568106,7.3,10.8,-0.324074074,3.3
6.2,6.4,-0.03125,27,32.4,-0.166666667,34.2,34.1,0.002932551,22.4,30.1,-0.255813953,12.8,10.8,0.185185185,3.5
4.9,6.4,-0.234375,26.5,32.4,-0.182098765,36.3,34.1,0.064516129,23.4,30.1,-0.222591362,8.3,10.8,-0.231481481,3.3
4.7,6.4,-0.265625,25.9,32.4,-0.200617284,30,34.1,-0.120234604,24.5,30.1,-0.186046512,9.3,10.8,-0.138888889,2.6
4,6.4,-0.375,27,32.4,-0.166666667,26.6,34.1,-0.219941349,27,30.1,-0.102990033,5.8,10.8,-0.462962963,3
5.2,6.4,-0.1875,26.6,32.4,-0.179012346,31.4,34.1,-0.079178886,31.6,30.1,0.049833887,18.4,10.8,0.703703704,2.9
6.2,6.4,-0.03125,47.6,32.4,0.469135802,31,34.1,-0.090909091,24.4,30.1,-0.189368771,15.7,10.8,0.453703704,2.8
3.5,6.4,-0.453125,24,32.4,-0.259259259,29.3,34.1,-0.140762463,19.3,30.1,-0.358803987,8.4,10.8,-0.222222222,2.3
4.8,6.4,-0.25,25.7,32.4,-0.206790123,30.5,34.1,-0.105571848,18.1,30.1,-0.398671096,3.7,10.8,-0.657407407,2.8
3.5,6.4,-0.453125,20.2,32.4,-0.37654321,32,34.1,-0.061583578,32.6,30.1,0.083056478,20,10.8,0.851851852,4.3
7,6.4,0.09375,26.8,32.4,-0.172839506,33.5,34.1,-0.017595308,34.3,30.1,0.139534884,5.8,10.8,-0.462962963,2.4
5.1,6.4,-0.203125,33.8,32.4,0.043209877,31.7,34.1,-0.070381232,18.9,30.1,-0.372093023,3.7,10.8,-0.657407407,2.1
6.5,6.4,0.015625,21,32.4,-0.351851852,33.9,34.1,-0.005865103,29.8,30.1,-0.009966777,18,10.8,0.666666667,2
3.6,6.4,-0.4375,16.7,32.4,-0.484567901,32.7,34.1,-0.041055718,32.7,30.1,0.086378738,18,10.8,0.666666667,2.6
2,6.4,-0.6875,25.2,32.4,-0.222222222,24.7,34.1,-0.275659824,32.9,30.1,0.093023256,20.3,10.8,0.87962963,1.8
5.9,6.4,-0.078125,19,32.4,-0.413580247,30.7,34.1,-0.099706745,22.9,30.1,-0.239202658,14.1,10.8,0.305555556,4.6
