HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
7.8,46.7,23.6,30,10.7,2.9
6.1,37.1,31.7,39,14.9,2.8
5,34.6,34,31.6,9.5,5.2
9.6,31.3,33.4,38.2,9.5,5.4
4.7,31.8,28.4,27.7,10.3,2
4,32.2,32.9,25.6,9.8,2.2
3.2,43.9,30.6,39.8,14.2,3.4
7.6,42.1,30.4,34.9,10.5,4.1
5.5,20.6,31.1,37.5,10.4,2.3
5.4,37.5,30.5,26.6,6.9,4.2
5.5,41.5,29.5,26.1,8,2.6
4.2,31.6,27.9,28.5,12.2,3.4
8.7,30.9,33.4,25.8,10.1,2.5
3.9,22.3,24.4,27.7,10.2,4.4
3.1,40,28.3,26.3,16,2
6.8,34.7,26.3,39.1,12.8,2.6
6.9,31.5,23,27.1,11.3,2.5
3.2,35.1,29,33.5,9.1,3.1
4.1,33.3,46.6,37.8,9.5,2.2
5.4,27.6,35.1,30.8,9.1,3.6
5.2,33,34.8,27.7,8.9,3
10.1,40.5,30.8,27.8,10.7,2.3
5.1,38.7,35.8,33.4,10.2,3.6
6.6,46.7,33.6,24.5,8,3.3
8.4,30.2,25.5,24.8,3.9,2
6.6,30.2,30.7,31.3,8.4,2.4
6.9,27.8,39.5,25.2,9.7,2.7
6.4,42.4,27.1,28,7.9,3.7
6.1,35.8,34.9,29.3,9.6,2.2
5.3,34.5,32.2,38.5,7.6,3.8
4.9,25.5,23.7,25.8,10,5.5
11.2,32.7,30.1,23.9,11.8,2
8.2,36,23.2,29.8,11.8,2.7
4.9,32.7,35.5,31.5,11.6,3.3
5.9,32.9,32.2,25.8,10.5,2.4
6.3,33,23.8,27.1,11.8,1
4,41,32.2,23.6,8.5,2.8
2.8,25.4,30.8,43.8,11.1,4.7
6.1,30.4,37.3,37.8,10.2,3
9.1,32.2,35.1,38.1,17.3,2
5.1,33.3,35.3,32.6,11.2,2.7
6.2,38.6,30.7,35.7,8.4,1.8
5,32.3,32.9,29.4,8.8,1.9
4.9,33,23.3,41.7,10.1,2.3
9.4,38.6,33,39.2,9.7,1.3
4.9,43.8,31.2,33.3,12.1,2.4
7.8,49.7,48.1,24.1,7.3,2.5
5,28.2,39.4,28.7,9.7,2.6
2.8,29.7,44.4,25,11.6,4.4
5.5,37.8,28.3,25.9,11.2,3.4
4.9,28.9,28.6,31.3,7,3.2
6.8,37.7,31.6,26.2,11.5,1.8
2.5,48.3,26.1,31.5,9.6,3.1
7.5,42.5,31,28.4,5,3
7.9,31.8,52.1,26.3,9.4,2.1
8.4,47.2,35.4,25.8,11.5,2.1
8,31.6,23.2,24.4,11.3,2.5
5,36.2,31.9,38.2,9.1,3.3
8.4,34.5,28.7,32.3,9.1,3.2
7.9,40.4,27.1,27.6,10.6,3.2
6.1,32.3,33,35.5,11.3,2.3
8.5,34.6,35.9,22.5,9.8,2.2
5.1,52.7,37.9,34,10.3,3.5
6.2,28.4,31.8,29.1,9.5,3.2
6.6,21.9,34.5,37.3,9.5,3.2
6.9,30.3,37.3,27.5,7.8,2.7
6.5,38.4,28,29,12.7,4.7
5.4,29,16.5,41.3,10.5,3.3
8.8,39.5,33.8,35.4,11.3,3.8
5.6,37.2,26,36.4,11,2.4
6.7,34.8,31.7,25.7,10,3.6
7.6,42.2,38.5,24.3,8.1,2.6
5.9,39.4,33.2,38,7.5,3.3
7,34.2,31.7,34.5,7.1,4.4
5.2,40.1,29.5,25.3,9.7,3
7.5,45.5,32.8,35,8.5,2
3.8,35.1,33.8,32.9,8.6,1.6
4.3,21.9,26.2,30.5,12.4,1.9
3.6,28.6,43.9,25.3,10.3,1.8
5.3,22.7,36.2,31.8,9.8,2.4
3.9,23.3,34.3,32.4,8.9,2.7
3.9,44.5,36.9,33.5,11.7,2.8
2.8,21.4,31.7,28.3,12.3,1.8
3.8,22.4,30.9,40.1,7.3,6.7
3.3,18.9,26.3,31,11,3.6
11.5,23.1,35.3,36.6,11.3,2.2
2.9,20.8,34.8,28.4,10.9,2.2
3.2,25,30,37.7,10.7,2.8
2.9,23.8,30.7,26.3,9.1,2.7
13.1,18,28,25.3,9.7,3.8
2.7,49.1,31.4,27,11.5,2.5
2.9,27.9,32.7,24.9,7.4,1.5
2.3,18.5,36.2,27.3,8.9,1.7
3.7,22.8,34,31.8,8.2,3.7
3.5,23.2,32.6,32.3,6.1,2.7
3.9,23.8,35.1,26.1,7.3,1.3
2.2,28.9,32.7,37.5,7.2,2.2
3.4,23.2,32.2,23.8,7.1,3.9
3.4,33.5,31.7,38.9,7.6,2.7
2.6,20.6,30.6,24.1,7.1,4.3
2.7,33.4,31,29.7,7.8,2.6
3.3,28.4,34,29.6,7.2,3.1
3.2,24.5,29.6,36.1,8.1,3
3.7,19.9,30.9,30.2,7.2,2.4
4.1,23.8,29.5,25.4,7,2.2
4.5,27.2,34.3,25.3,5.3,2.6
3.1,30.6,31.7,23,6.3,3.3
2.8,24.4,36.6,24.1,2.1,2.6
9.2,21.9,27.7,25,8.5,2.7
2.5,22.3,38,17.8,6.6,2.3
3.3,31.4,34.8,20.9,7.5,4.7
3.5,23.3,35.7,35.5,7.1,3.9
3,22,32.2,28.9,6.7,2
3.5,18.7,31.9,23.5,7.8,3.2
1.8,25.9,28.1,26,8.2,3.1
3.5,21,29.8,41.2,8.5,2.8
3.6,20.6,32.4,34.8,10.7,3.8
2.3,21.6,23.9,39.1,7.4,2.5
3.5,27.6,32.6,26.5,6.5,2.2
3.1,26.1,32.3,28,7.4,2.3
3.7,15.5,32.1,23.5,7.9,2.1
4.4,26.9,33.4,21.9,6.7,4.6
2,26.1,43.5,32.6,7.3,5.1
3.1,19.3,29.1,20.9,1.9,2.9
3.3,22.2,38.5,22.1,7.6,2.2
3.4,22.5,33.3,32.3,8.4,2.5
2.4,22.6,30.1,35.6,6.2,2.8
3.5,29.3,31.2,21.2,7,2.9
6.4,21.2,33.8,32.8,11,5
2.6,18.5,33.6,28.9,10.6,3.3
3.3,20.5,34.5,33.1,7.4,3.1
2.5,19.8,30,22,7,2.1
4.2,28.7,20.5,47,8.9,6.4
5.6,29.3,28.9,24.7,5.3,3.6
3.8,10.4,31.4,35.5,11.6,2.9
3.3,24.4,34,30.6,8.1,3.2
4,21.9,29.7,27.1,8.9,7.3
2.5,23.1,27.2,28.7,5.9,2.2
2.8,23.1,22.7,24.5,6.7,2.6
3.4,27.2,32.7,28,7.1,3.3
6.8,24.6,28,32.4,7.7,1
4.1,27.6,32,27.8,7.5,2.5
3,15.6,30,23.5,6.7,2.7
3.1,20.4,31.2,28.5,6.7,3.1
4,29.5,30.3,25.2,9.8,4.9
10,28.6,30.5,37.4,6.6,3.1
3.3,44.2,31.7,28.6,6.2,2
5.2,23.8,35.3,29.2,7.8,2.7
6.6,23.2,38.1,28.1,7.1,2.7
7.3,24.4,11.8,35.6,1.4,2.4
4.3,22.5,31.7,26.1,6.5,2.3
5.8,23.9,31.5,24.3,6.4,3.2
4.5,30.8,40.2,28.8,4.7,2.4
5.5,20.4,33.6,25.8,6.6,3.6
3.3,19.4,32,18.2,2.5,1.9
3.5,22.2,33.1,20.8,6.9,2.8
4.9,22.3,39.8,46.1,7.3,3.1
4.2,18.7,34.3,22.7,2.4,3.1
4.6,21.5,23,27.4,2.7,2.1
6.6,28,29.7,39.1,6.9,2.6
5.9,18.7,26.8,29.7,7.5,3.1
4.7,30.5,33.2,43.5,4.4,2.9
5.5,25.6,36.1,24.5,5.5,2.4
