StkCity,StkMean,StkLowFid,StkHighFid,StkMeanByUS,StkRelByUS,Stk_Lat,Stk_Log
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.4345805,-86.72632921
Stk_AL_Hoover,2.00,1.70,2.40,3.2,-0.40,33.37149061,-86.81109624
Stk_AL_Tuscaloosa,2.70,2.30,3.20,3.2,-0.17,33.24475766,-87.53146436
Stk_AL_Mobile,8.20,7.40,9.20,3.2,1.67,30.72731679,-88.11316474
Stk_AL_Birmingham,5.50,5.00,5.90,3.2,0.77,33.57943283,-86.72283239
Stk_AL_Birmingham,5.60,5.20,6.10,3.2,0.80,33.49899593,-86.86476
Stk_AL_Huntsville,5.70,5.20,6.30,3.2,0.83,34.78304302,-86.58984061
Stk_AL_Mobile,7.10,6.30,8.00,3.2,1.30,30.69908407,-88.05888576
Stk_AL_Birmingham,3.80,3.30,4.20,3.2,0.20,33.61181177,-86.72142215
Stk_AL_Montgomery,4.20,3.80,4.60,3.2,0.33,32.3348191,-86.25253073
Stk_AL_Birmingham,2.60,2.30,2.80,3.2,-0.20,33.49715956,-86.79174407
Stk_AL_Birmingham,2.30,2.00,2.50,3.2,-0.30,33.48666898,-86.81732628
Stk_AL_Huntsville,4.30,3.80,4.70,3.2,0.37,34.76287824,-86.628492
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.63554146,-86.73694669
Stk_AL_Birmingham,4.00,3.70,4.40,3.2,0.27,33.62525752,-86.69986104
Stk_AL_Mobile,4.00,3.70,4.40,3.2,0.27,30.63090434,-88.07210666
Stk_AL_Huntsville,2.00,1.80,2.20,3.2,-0.40,34.6739365,-86.47002427
Stk_AL_Mobile,2.90,2.50,3.40,3.2,-0.10,30.68341309,-88.0744007
Stk_AL_Mobile,6.70,5.80,7.70,3.2,1.17,30.70590955,-88.09232502
Stk_AL_Montgomery,9.70,8.60,10.70,3.2,2.17,32.36213955,-86.32911064
Stk_AL_Montgomery,6.90,6.40,7.30,3.2,1.23,32.40440281,-86.31341682
Stk_AL_Huntsville,7.20,6.70,7.90,3.2,1.33,34.75076144,-86.58793188
Stk_AL_Montgomery,6.90,6.00,7.90,3.2,1.23,32.31521471,-86.37941627
Stk_AL_Hoover,2.10,1.90,2.40,3.2,-0.37,33.37339198,-86.85349009
Stk_AL_Birmingham,5.10,4.60,5.60,3.2,0.63,33.56500159,-86.71010248
Stk_AL_Montgomery,2.40,2.10,2.60,3.2,-0.27,32.35265137,-86.29163559
Stk_AL_Mobile,2.70,2.40,3.00,3.2,-0.17,30.62677464,-88.19895502
Stk_AL_Mobile,3.60,3.30,4.10,3.2,0.13,30.73492904,-88.20133037
Stk_AL_Tuscaloosa,1.90,1.50,2.20,3.2,-0.43,33.35336401,-87.54175508
Stk_AL_Hoover,2.50,2.20,2.80,3.2,-0.23,33.40268739,-86.77094507
Stk_AL_Hoover,1.00,1.00,1.00,3.2,-0.73,33.46720652,-86.61934333
Stk_AL_Mobile,2.90,2.50,3.30,3.2,-0.10,30.69225105,-88.08970475
Stk_AL_Huntsville,1.80,1.60,1.90,3.2,-0.47,34.63148164,-86.75692264
Stk_AL_Birmingham,5.60,5.10,6.10,3.2,0.80,33.48476397,-86.89813929
Stk_AL_Tuscaloosa,2.10,1.90,2.40,3.2,-0.37,33.16508782,-87.56177804
Stk_AL_Montgomery,4.60,4.00,5.20,3.2,0.47,32.30725387,-86.26465783
Stk_AL_Montgomery,2.80,2.60,3.10,3.2,-0.13,32.34752326,-86.20852027
Stk_AL_Birmingham,2.50,2.20,2.70,3.2,-0.23,33.47499418,-86.83354217
Stk_AL_Tuscaloosa,3.80,3.50,4.30,3.2,0.20,33.19453946,-87.46527684
Stk_AL_Mobile,11.70,10.20,13.30,3.2,2.83,30.70432698,-88.05214377
Stk_AL_Huntsville,1.40,1.30,1.60,3.2,-0.60,34.69900293,-86.71081457
Stk_AL_Mobile,3.80,3.50,4.10,3.2,0.20,30.66092596,-88.14155015
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.45569958,-86.65202086
Stk_AL_Tuscaloosa,7.50,6.80,8.30,3.2,1.43,33.19266928,-87.55650845
Stk_AL_Mobile,2.70,2.40,3.00,3.2,-0.17,30.66875653,-88.18081648
Stk_AL_Montgomery,1.80,1.60,2.00,3.2,-0.47,32.32839753,-86.14008892
Stk_AL_Birmingham,6.30,5.70,7.00,3.2,1.03,33.46295433,-86.88984066
Stk_AL_Montgomery,4.70,4.20,5.20,3.2,0.50,32.33568952,-86.29078703
Stk_AL_Mobile,9.20,8.30,10.10,3.2,2.00,30.72007218,-88.10541101
Stk_AL_Birmingham,1.80,1.60,2.10,3.2,-0.47,33.43959752,-86.67359594
Stk_AL_Huntsville,2.60,2.30,3.00,3.2,-0.20,34.74500239,-86.55374518
Stk_AL_Huntsville,2.60,2.20,3.10,3.2,-0.20,34.71193467,-86.58260696
Stk_AL_Huntsville,1.70,1.50,1.80,3.2,-0.50,34.77870377,-86.795488
Stk_AL_Mobile,3.50,3.00,3.90,3.2,0.10,30.62708316,-88.13782976
Stk_AL_Birmingham,6.80,6.30,7.40,3.2,1.20,33.52987273,-86.81971917
Stk_AL_Hoover,2.80,2.40,3.10,3.2,-0.13,33.4073892,-86.72085017
Stk_AL_Mobile,6.20,5.70,6.70,3.2,1.00,30.65009859,-88.10009894
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.58592342,-86.83570072
Stk_AL_Hoover,2.70,2.50,3.00,3.2,-0.17,33.37360789,-86.79337503
Stk_AL_Tuscaloosa,5.00,4.50,5.60,3.2,0.60,33.20640553,-87.57736918
Stk_AL_Birmingham,8.70,7.90,9.60,3.2,1.83,33.50940185,-86.8859082
