,CA_City,CA_PopByMM,CA_DiagPer100k
1586,CA Bellflower,"5,483",10.6
1587,CA Carlsbad,76,5.4
1588,CA Compton,285,11.3
1589,CA Chula Vista,"2,348",13.6
1590,CA Burbank,"7,104",9.6
1591,CA Chino,"6,707",10.3
1592,CA Chula Vista,"5,998",10.0
1593,CA Berkeley,"2,794",8.5
1594,CA Bakersfield,"2,862",18.5
1595,CA Berkeley,"4,196",4.2
1597,CA Concord,354,2.7
1598,CA Daly City,"6,544",10.5
1599,CA Bakersfield,"5,408",9.1
1600,CA Berkeley,"112,580",7.2
1601,CA Compton,188,14.5
1602,CA Corona,"11,611",7.6
1603,CA Costa Mesa,"3,556",7.7
1604,CA Chula Vista,"14,837",6.9
1605,CA Bellflower,"3,554",9.2
1606,CA Downey,"6,921",8.6
1607,CA Corona,"4,572",11.1
1608,CA Daly City,"5,352",10.4
1609,CA Chula Vista,"5,445",11.7
1610,CA Carlsbad,"4,465",7.1
1611,CA Carson,"3,910",10.9
1612,CA Compton,"4,307",14.1
1613,CA Corona,"5,665",8.1
1614,CA Downey,"6,547",10.2
1615,CA Concord,"2,281",11.1
1616,CA Bakersfield,"5,414",9.1
1617,CA Chino Hills,"6,752",8.3
1618,CA Bakersfield,811,9.9
1619,CA Chula Vista,"7,005",10.3
1620,CA Clovis,"2,427",10.2
1621,CA Clovis,"3,624",8.9
1622,CA Berkeley,"1,552",5.5
1623,CA Baldwin Park,"5,069",11.9
1624,CA Apple Valley,"9,401",10.8
1625,CA Clovis,"2,667",6.9
1626,CA Citrus Heights,"3,568",10.5
1627,CA Bellflower,"76,616",9.9
1628,CA Costa Mesa,"2,415",8.7
1629,CA Concord,"5,701",9.0
1630,CA Chino Hills,"5,077",7.6
1631,CA Berkeley,"1,756",8.1
1632,CA Chico,"3,723",10.8
1633,CA Bakersfield,"2,026",9.3
1634,CA Bakersfield,"3,852",15.0
1635,CA Baldwin Park,"5,227",12.2
1636,CA Compton,"6,207",12.7
1637,CA Costa Mesa,"3,957",9.6
1638,CA Downey,"7,200",10.0
1639,CA Costa Mesa,"5,430",6.6
1640,CA Bakersfield,"2,858",6.4
1641,CA Citrus Heights,"4,248",7.6
1642,CA Carlsbad,"6,355",7.5
1644,CA Buena Park,"1,408",9.0
1645,CA Bakersfield,"5,173",10.5
1646,CA Carson,"91,714",10.8
1647,CA Corona,573,7.6
1648,CA Citrus Heights,"3,967",8.9
1649,CA Buena Park,"6,033",10.5
1650,CA Chula Vista,"1,567",9.4
1651,CA Baldwin Park,"3,973",11.1
1652,CA Chino,"5,138",10.5
1653,CA Bakersfield,"8,998",9.0
1654,CA Bakersfield,"1,746",13.3
1655,CA Chula Vista,"3,913",11.8
1656,CA Corona,"4,301",8.6
1657,CA Chula Vista,"243,916",10.4
1658,CA Berkeley,"2,925",6.8
1659,CA Downey,"7,666",9.4
1660,CA Daly City,"101,123",9.9
1661,CA Citrus Heights,"3,353",8.0
1662,CA Chino,299,9.8
1663,CA Bakersfield,"5,493",10.1
1664,CA Citrus Heights,"3,752",8.1
1665,CA Baldwin Park,562,8.6
1666,CA Costa Mesa,"3,835",10.4
1667,CA Concord,117,9.0
1668,CA Carlsbad,"2,293",8.0
1669,CA Concord,"4,767",7.9
1670,CA Burbank,"5,466",7.3
1671,CA Downey,"7,170",9.3
1672,CA Costa Mesa,"6,994",5.8
1673,CA Bakersfield,"4,784",12.0
1674,CA Carson,"4,791",11.2
1675,CA Corona,"3,391",8.4
1676,CA Corona,"6,698",12.5
1677,CA Compton,104,14.3
1678,CA Chula Vista,"4,773",11.5
1679,CA Bakersfield,"5,061",14.1
1680,CA Bakersfield,"4,897",7.8
1681,CA Concord,91,7.2
1682,CA Chico,"3,247",4.4
1683,CA Bakersfield,"15,296",7.1
1684,CA Daly City,"6,658",11.7
1685,CA Berkeley,"1,593",7.2
1686,CA Chula Vista,"6,487",11.7
1687,CA Burbank,"6,137",8.1
1688,CA Clovis,"5,542",9.9
1689,CA Bakersfield,"4,287",8.4
1690,CA Daly City,"7,443",10.3
1691,CA Bellflower,"3,799",9.1
1692,CA Carson,"6,061",13.5
1693,CA Daly City,"5,800",10.4
1694,CA Berkeley,"3,632",7.0
1695,CA Costa Mesa,"2,914",9.3
1696,CA Compton,312,14.2
1697,CA Corona,"2,594",8.4
1698,CA Baldwin Park,"4,335",10.8
1699,CA Bakersfield,"4,871",7.3
1700,CA Bakersfield,"3,313",9.5
1701,CA Clovis,"3,993",9.0
1702,CA Compton,"4,867",12.5
1703,CA Bellflower,"3,390",11.4
1704,CA Concord,"3,722",7.9
1705,CA Bakersfield,"6,935",7.7
1706,CA Carlsbad,"3,711",5.9
1707,CA Chula Vista,"3,380",9.2
1709,CA Clovis,"95,631",8.8
1710,CA Corona,180,12.4
1711,CA Downey,"1,534",8.7
1712,CA Berkeley,"4,336",4.9
1713,CA Carlsbad,"7,006",7.4
1714,CA Concord,"1,168",8.3
1715,CA Bellflower,"4,875",9.7
1716,CA Daly City,"5,125",10.2
1717,CA Costa Mesa,"4,957",7.5
1718,CA Buena Park,"4,953",9.0
1719,CA Downey,"4,468",10.1
1720,CA Corona,"3,989",8.0
1721,CA Chula Vista,"3,625",7.4
1722,CA Carson,"4,090",11.5
1723,CA Citrus Heights,"4,000",11.1
1724,CA Apple Valley,"6,974",12.9
1725,CA Compton,452,12.7
1726,CA Bellflower,"76,616",10.8
1727,CA Burbank,"6,870",8.7
1728,CA Corona,"6,230",12.1
1729,CA Concord,393,10.9
1730,CA Citrus Heights,"83,301",8.9
1731,CA Costa Mesa,"5,489",6.8
1732,CA Berkeley,"3,387",6.7
1733,CA Downey,"7,533",8.7
1734,CA Carson,"7,083",10.9
1735,CA Compton,"5,496",10.5
1736,CA Compton,"3,631",12.4
1737,CA Concord,"3,358",8.0
1738,CA Chino Hills,"7,053",7.4
1739,CA Costa Mesa,322,7.3
1740,CA Baldwin Park,"5,873",11.3
1741,CA Chino Hills,"6,117",8.9
1742,CA Berkeley,"3,716",7.3
1743,CA Clovis,"3,869",6.4
1744,CA Bakersfield,612,6.1
1745,CA Costa Mesa,"3,790",8.3
1746,CA Bakersfield,"3,231",10.4
1747,CA Clovis,"4,824",7.1
1748,CA Carlsbad,"11,883",6.5
1749,CA Berkeley,"4,658",3.6
1750,CA Chula Vista,"4,933",12.1
1751,CA Bakersfield,"6,931",13.6
1752,CA Buena Park,"7,635",9.8
1753,CA Chico,"3,902",5.8
1754,CA Citrus Heights,192,9.6
1755,CA Chula Vista,"9,464",7.2
1756,CA Costa Mesa,"4,658",9.7
1757,CA Buena Park,"1,441",9.3
1758,CA Bellflower,"3,916",10.1
1759,CA Apple Valley,"5,837",12.2
1760,CA Compton,"2,983",13.9
1761,CA Chico,"4,217",4.8
1762,CA Carlsbad,"105,328",7.4
1763,CA Concord,"3,200",8.2
1764,CA Buena Park,"6,725",10.5
1765,CA Bakersfield,"5,465",10.9
1766,CA Chula Vista,"3,858",15.7
1767,CA Bakersfield,"4,158",10.8
