,CA_City,CA_PopByMM,CA_DiagPer100k
3861,CA Los Angeles,"4,754",12.5
3862,CA Los Angeles,"3,264",10.8
3863,CA Los Angeles,"2,216",8.9
3864,CA Los Angeles,"4,951",11.1
3865,CA Los Angeles,"4,198",13.7
3866,CA Los Angeles,"6,146",10.4
3867,CA Los Angeles,"4,247",11.1
3868,CA Los Angeles,"3,096",5.7
3869,CA Los Angeles,"3,848",11.7
3870,CA Los Angeles,"3,884",10.9
3871,CA Los Angeles,"4,490",9.0
3872,CA Los Angeles,"3,599",12.3
3873,CA Los Angeles,"3,252",8.5
3874,CA Los Angeles,"5,273",14.4
3875,CA Los Angeles,"4,157",7.1
3876,CA Los Angeles,"7,883",7.0
3877,CA Los Angeles,"1,737",12.5
3878,CA Los Angeles,"3,164",9.2
3879,CA Los Angeles,"2,392",15.6
3880,CA Los Angeles,"3,095",4.4
3881,CA Los Angeles,"3,453",11.8
3882,CA Los Angeles,"2,767",9.3
3883,CA Los Angeles,"2,950",11.7
3884,CA Los Angeles,"4,021",5.9
3885,CA Los Angeles,"3,083",5.4
3886,CA Los Angeles,"3,770",13.5
3887,CA Los Angeles,"4,645",12.5
3888,CA Los Angeles,"2,222",5.1
3889,CA Los Angeles,"4,114",7.7
3890,CA Los Angeles,"2,091",10.6
3891,CA Los Angeles,"4,967",12.2
3892,CA Los Angeles,"4,838",12.2
3893,CA Los Angeles,"5,267",13.0
3894,CA Los Angeles,"4,110",11.4
3895,CA Los Angeles,"4,270",9.0
3896,CA Los Angeles,"2,589",17.1
3897,CA Los Angeles,"2,124",11.7
3898,CA Los Angeles,"4,311",14.5
3899,CA Los Angeles,"5,220",11.5
3900,CA Los Angeles,"2,603",8.3
3901,CA Los Angeles,"2,828",8.7
3902,CA Los Angeles,"5,138",7.4
3903,CA Los Angeles,"2,277",12.5
3904,CA Los Angeles,"5,850",6.0
3905,CA Los Angeles,"2,999",17.1
3906,CA Los Angeles,"5,990",10.9
3907,CA Los Angeles,"2,937",7.5
3908,CA Los Angeles,"2,439",11.6
3909,CA Los Angeles,"2,218",6.3
3910,CA Los Angeles,"2,795",6.0
3911,CA Los Angeles,"3,695",6.7
3912,CA Los Angeles,"2,304",5.8
3913,CA Los Angeles,"3,319",13.9
3915,CA Los Angeles,"3,071",10.0
3916,CA Los Angeles,"2,711",9.8
3917,CA Los Angeles,"2,364",10.1
3918,CA Los Angeles,"4,137",10.1
3919,CA Los Angeles,"6,192",13.7
3920,CA Los Angeles,"3,350",16.2
3921,CA Los Angeles,"2,654",6.7
3922,CA Los Angeles,"4,066",5.5
3923,CA Los Angeles,"4,971",6.8
3924,CA Los Angeles,"4,920",7.3
3925,CA Los Angeles,"2,806",5.3
3926,CA Los Angeles,"3,259",14.3
3927,CA Los Angeles,"4,843",7.3
3928,CA Los Angeles,"5,592",7.2
3929,CA Los Angeles,"3,539",12.5
3930,CA Los Angeles,"2,979",8.5
3931,CA Los Angeles,"4,234",5.2
3932,CA Los Angeles,"4,114",9.4
3933,CA Los Angeles,"3,588",5.9
3934,CA Los Angeles,"3,105",13.3
3935,CA Los Angeles,"3,081",13.7
3936,CA Los Angeles,"4,186",7.9
3937,CA Los Angeles,"2,594",8.0
3938,CA Los Angeles,"2,710",12.2
3939,CA Los Angeles,"2,210",11.9
3940,CA Los Angeles,"5,464",13.7
3941,CA Los Angeles,"3,403",13.4
3942,CA Los Angeles,"4,097",11.8
3943,CA Los Angeles,"3,887",12.4
3944,CA Los Angeles,"3,483",10.1
3945,CA Los Angeles,"3,091",6.8
3946,CA Los Angeles,"4,564",13.8
3947,CA Los Angeles,"5,631",11.1
3948,CA Los Angeles,"2,164",4.8
3949,CA Los Angeles,"4,377",13.3
3950,CA Los Angeles,"2,884",4.3
3951,CA Los Angeles,"3,922",10.1
3952,CA Los Angeles,"4,822",12.6
3953,CA Los Angeles,"4,931",11.8
3954,CA Los Angeles,"6,143",9.3
3955,CA Los Angeles,"6,144",9.2
3956,CA Los Angeles,"6,288",14.4
3957,CA Los Angeles,"3,475",9.1
3958,CA Los Angeles,"4,821",13.8
3959,CA Los Angeles,"3,373",13.0
3960,CA Los Angeles,"3,854",14.3
3961,CA Los Angeles,"2,816",14.7
3962,CA Los Angeles,"4,389",13.3
3963,CA Los Angeles,"4,418",5.9
3964,CA Los Angeles,"4,902",10.5
3965,CA Los Angeles,"5,528",4.8
3966,CA Los Angeles,"3,019",14.1
3967,CA Los Angeles,"4,124",6.8
3968,CA Los Angeles,"4,557",14.8
3969,CA Los Angeles,"2,472",17.3
3970,CA Los Angeles,"3,237",9.1
3971,CA Los Angeles,"2,881",10.9
3972,CA Los Angeles,"3,463",9.8
3973,CA Los Angeles,"6,742",11.2
3974,CA Los Angeles,"3,326",10.4
3975,CA Los Angeles,"5,818",10.0
3976,CA Los Angeles,"2,519",12.3
3977,CA Los Angeles,"2,818",6.7
3978,CA Los Angeles,"3,933",9.9
3979,CA Los Angeles,"3,135",7.7
3980,CA Los Angeles,"4,530",12.2
3981,CA Los Angeles,"2,819",5.3
3982,CA Los Angeles,"2,227",6.1
3983,CA Los Angeles,"2,471",9.9
3984,CA Los Angeles,"4,943",15.0
3985,CA Los Angeles,"2,543",9.8
3986,CA Los Angeles,"3,570",2.9
3987,CA Los Angeles,"2,201",9.1
3988,CA Los Angeles,"3,616",14.5
3989,CA Los Angeles,"4,189",6.5
3990,CA Los Angeles,"4,235",13.9
3991,CA Los Angeles,"3,011",5.0
3992,CA Los Angeles,"4,493",9.0
3993,CA Los Angeles,"2,887",7.9
3994,CA Los Angeles,"2,327",11.4
3995,CA Los Angeles,"3,095",10.9
3996,CA Los Angeles,"3,007",8.1
3997,CA Los Angeles,"3,707",13.2
3998,CA Los Angeles,"3,293",6.6
3999,CA Los Angeles,"2,620",8.1
4000,CA Los Angeles,"3,787",8.3
4001,CA Los Angeles,"2,999",11.2
4002,CA Los Angeles,"2,738",6.5
4003,CA Los Angeles,"4,359",6.3
4004,CA Los Angeles,"2,766",9.0
4005,CA Los Angeles,"3,078",13.4
4006,CA Los Angeles,"2,670",8.6
4007,CA Los Angeles,"2,943",7.8
4008,CA Los Angeles,"3,728",13.2
4009,CA Los Angeles,"5,055",13.3
4010,CA Los Angeles,"4,500",9.7
4011,CA Los Angeles,"3,461",8.9
4012,CA Los Angeles,"3,748",6.1
4013,CA Los Angeles,"3,751",10.4
4014,CA Los Angeles,"2,235",6.9
4015,CA Los Angeles,"2,573",5.6
4016,CA Los Angeles,"3,185",6.4
4017,CA Los Angeles,"4,178",10.4
4018,CA Los Angeles,"2,890",5.9
4019,CA Los Angeles,"5,998",12.1
4020,CA Los Angeles,"2,886",12.7
4021,CA Los Angeles,"3,231",12.4
4022,CA Los Angeles,"5,639",6.7
4023,CA Los Angeles,"1,604",11.7
4024,CA Los Angeles,"3,889",8.0
4025,CA Los Angeles,"2,721",13.7
4026,CA Los Angeles,"3,378",7.2
4027,CA Los Angeles,"3,237",12.0
4028,CA Los Angeles,"3,219",12.3
4029,CA Los Angeles,"3,738",9.0
4030,CA Los Angeles,"3,660",7.2
4031,CA Los Angeles,"2,913",9.8
4032,CA Los Angeles,"3,458",6.6
4033,CA Los Angeles,"4,724",13.6
4034,CA Los Angeles,"2,490",7.5
4035,CA Los Angeles,"2,869",12.3
4036,CA Los Angeles,"3,825",10.5
4037,CA Los Angeles,"3,426",12.6
4038,CA Los Angeles,"3,960",10.9
4039,CA Los Angeles,"2,714",15.0
4040,CA Los Angeles,"2,717",8.8
4041,CA Los Angeles,"4,221",8.8
4042,CA Los Angeles,"2,365",11.3
4043,CA Los Angeles,"3,047",12.6
4044,CA Los Angeles,"3,743",5.4
4045,CA Los Angeles,"2,608",7.0
4046,CA Los Angeles,"3,254",14.6
4047,CA Los Angeles,"2,656",10.8
4048,CA Los Angeles,"3,119",13.5
4049,CA Los Angeles,"3,728",11.2
4050,CA Los Angeles,"3,386",18.9
4051,CA Los Angeles,"2,645",10.5
4052,CA Los Angeles,"2,428",13.0
4053,CA Los Angeles,"5,287",10.4
4054,CA Los Angeles,"4,028",11.9
4055,CA Los Angeles,"2,840",12.2
4056,CA Los Angeles,"5,213",8.6
4057,CA Los Angeles,"2,439",9.1
4058,CA Los Angeles,"4,226",9.3
4059,CA Los Angeles,"2,549",7.5
4060,CA Los Angeles,"6,109",9.0
4062,CA Los Angeles,"4,165",9.1
4063,CA Los Angeles,"3,983",5.7
4064,CA Los Angeles,"5,343",8.2
4065,CA Los Angeles,"4,966",12.8
4066,CA Los Angeles,"3,707",5.6
4067,CA Los Angeles,"2,647",7.5
4068,CA Los Angeles,"6,108",9.5
4069,CA Los Angeles,"3,877",7.0
4070,CA Los Angeles,"2,917",7.2
4071,CA Los Angeles,"4,394",12.7
4072,CA Los Angeles,"4,422",8.8
4073,CA Los Angeles,"2,658",11.4
4074,CA Los Angeles,"2,471",7.4
4075,CA Los Angeles,"2,363",13.9
4076,CA Los Angeles,"4,940",10.3
4077,CA Los Angeles,"1,740",8.2
4078,CA Los Angeles,"5,021",9.5
4079,CA Los Angeles,"2,025",14.2
4080,CA Los Angeles,"3,711",7.1
4081,CA Los Angeles,"2,899",11.2
4082,CA Los Angeles,"4,074",10.0
4083,CA Los Angeles,"4,046",9.9
4084,CA Los Angeles,"3,372",10.3
4085,CA Los Angeles,"7,210",10.3
4086,CA Los Angeles,"3,637",9.5
4087,CA Los Angeles,"3,221",11.0
4088,CA Los Angeles,"3,688",13.1
4089,CA Los Angeles,"3,335",4.8
4090,CA Los Angeles,"3,982",11.3
4091,CA Los Angeles,"2,869",6.1
4092,CA Los Angeles,"3,510",13.1
4093,CA Los Angeles,"6,250",7.7
4094,CA Los Angeles,"2,448",10.4
4095,CA Los Angeles,"2,370",12.7
4096,CA Los Angeles,"3,757",12.4
4097,CA Los Angeles,"3,732",8.9
4098,CA Los Angeles,"5,531",10.0
4099,CA Los Angeles,"4,320",7.7
4100,CA Los Angeles,"4,963",12.8
4101,CA Los Angeles,"3,031",12.0
4102,CA Los Angeles,"4,521",9.4
4103,CA Los Angeles,"4,561",5.7
4104,CA Los Angeles,"2,481",15.6
4105,CA Los Angeles,"2,873",4.8
4106,CA Los Angeles,"4,662",13.5
4107,CA Los Angeles,"2,878",4.4
4108,CA Los Angeles,"4,916",11.5
4109,CA Los Angeles,"2,728",14.5
4110,CA Los Angeles,"4,156",9.2
4111,CA Los Angeles,"4,334",9.6
4112,CA Los Angeles,"4,844",11.9
4113,CA Los Angeles,"4,306",12.1
4114,CA Los Angeles,"3,432",11.8
4116,CA Los Angeles,"3,661",9.1
4117,CA Los Angeles,"4,971",5.1
4118,CA Los Angeles,"4,444",6.7
4119,CA Los Angeles,"3,967",9.8
4120,CA Los Angeles,"2,657",7.8
4121,CA Los Angeles,"4,742",10.1
4122,CA Los Angeles,"4,912",10.3
4123,CA Los Angeles,"3,200",12.4
4124,CA Los Angeles,"3,525",11.5
4125,CA Los Angeles,"2,645",10.1
4126,CA Los Angeles,"4,009",8.3
4127,CA Los Angeles,"2,719",11.5
4128,CA Los Angeles,"5,263",12.8
4129,CA Los Angeles,"7,087",8.2
4130,CA Los Angeles,"4,134",5.4
4131,CA Los Angeles,"3,910",12.8
4132,CA Los Angeles,"3,792,621",10.0
4133,CA Los Angeles,"5,194",9.5
4134,CA Los Angeles,"3,652",9.1
4135,CA Los Angeles,"3,287",10.9
4136,CA Los Angeles,239,15.9
4137,CA Los Angeles,"3,549",9.9
4138,CA Los Angeles,"3,132",10.7
4139,CA Los Angeles,"3,359",19.2
4140,CA Los Angeles,"2,551",13.7
4141,CA Los Angeles,"2,397",10.9
4142,CA Los Angeles,"4,285",11.8
4143,CA Los Angeles,"6,215",4.2
4144,CA Los Angeles,"5,620",13.3
4145,CA Los Angeles,"3,349",5.2
4146,CA Los Angeles,"2,449",7.6
4147,CA Los Angeles,"4,214",11.7
4148,CA Los Angeles,"2,466",6.8
4149,CA Los Angeles,"2,413",5.9
4150,CA Los Angeles,"4,795",10.9
4151,CA Los Angeles,"3,898",6.4
4152,CA Los Angeles,"4,796",6.7
4153,CA Los Angeles,"4,208",15.0
4154,CA Los Angeles,"4,638",10.7
4155,CA Los Angeles,"3,819",7.8
4156,CA Los Angeles,"5,020",11.7
4157,CA Los Angeles,"3,353",12.3
4158,CA Los Angeles,"2,643",9.2
4159,CA Los Angeles,"5,066",14.0
4160,CA Los Angeles,"2,679",15.6
4161,CA Los Angeles,"2,791",14.4
4162,CA Los Angeles,"3,391",8.4
4163,CA Los Angeles,"3,153",12.7
4164,CA Los Angeles,"4,141",10.3
4165,CA Los Angeles,"4,259",7.9
4166,CA Los Angeles,"4,481",5.3
4167,CA Los Angeles,"3,984",6.1
4168,CA Los Angeles,"3,372",13.9
4169,CA Los Angeles,"4,445",7.6
4170,CA Los Angeles,"3,464",12.1
4172,CA Los Angeles,"4,371",12.4
4173,CA Los Angeles,"3,275",11.1
4174,CA Los Angeles,"5,060",9.1
4175,CA Los Angeles,"4,977",6.8
4176,CA Los Angeles,"1,698",9.4
4177,CA Los Angeles,"4,001",15.5
4178,CA Los Angeles,"4,303",13.1
4179,CA Los Angeles,"4,557",11.1
4180,CA Los Angeles,"4,750",7.4
4181,CA Los Angeles,"4,307",14.6
4182,CA Los Angeles,"3,052",11.1
4183,CA Los Angeles,"2,339",11.8
4184,CA Los Angeles,"3,458",7.4
4185,CA Los Angeles,"2,598",13.5
4186,CA Los Angeles,"4,135",11.7
4187,CA Los Angeles,"2,490",8.3
4188,CA Los Angeles,"4,715",9.7
4189,CA Los Angeles,"5,163",8.3
4190,CA Los Angeles,"2,347",7.2
4191,CA Los Angeles,"2,030",10.6
4192,CA Los Angeles,"3,558",9.7
4193,CA Los Angeles,"6,769",12.8
4194,CA Los Angeles,"3,243",5.8
4195,CA Los Angeles,"2,068",14.2
4196,CA Los Angeles,"3,498",10.2
4197,CA Los Angeles,"4,202",7.4
4198,CA Los Angeles,"3,766",10.8
4199,CA Los Angeles,"2,827",9.1
4200,CA Los Angeles,"3,662",6.8
4201,CA Los Angeles,"3,447",11.3
4202,CA Los Angeles,"2,851",7.8
4203,CA Los Angeles,"4,358",12.6
4204,CA Los Angeles,"2,718",6.7
4205,CA Los Angeles,"4,029",7.1
4206,CA Los Angeles,"3,524",7.2
4207,CA Los Angeles,"2,621",12.5
4208,CA Los Angeles,"3,000",5.6
4209,CA Los Angeles,"3,851",10.5
4210,CA Los Angeles,"2,369",13.0
4211,CA Los Angeles,"3,224",14.8
4212,CA Los Angeles,"5,531",8.2
4213,CA Los Angeles,"3,768",11.8
4214,CA Los Angeles,"3,579",11.8
4215,CA Los Angeles,"3,603",9.9
4216,CA Los Angeles,"3,091",5.1
4217,CA Los Angeles,"3,325",5.7
4218,CA Los Angeles,"4,352",11.2
4219,CA Los Angeles,"5,210",12.7
4220,CA Los Angeles,"2,898",13.7
4221,CA Los Angeles,"3,942",5.7
4222,CA Los Angeles,"3,236",12.6
4223,CA Los Angeles,"3,480",10.5
4224,CA Los Angeles,"4,457",13.9
4225,CA Los Angeles,"5,049",13.6
4226,CA Los Angeles,"2,230",8.4
4227,CA Los Angeles,"3,307",6.1
4228,CA Los Angeles,"3,247",11.0
4229,CA Los Angeles,"5,543",9.0
4230,CA Los Angeles,"2,113",8.2
4231,CA Los Angeles,"2,975",10.1
4232,CA Los Angeles,"2,304",9.6
4233,CA Los Angeles,"3,442",13.9
4234,CA Los Angeles,"4,796",9.1
4235,CA Los Angeles,"4,460",9.2
4236,CA Los Angeles,"3,741",8.9
4237,CA Los Angeles,"3,926",14.1
4238,CA Los Angeles,"4,085",7.7
4239,CA Los Angeles,"3,794",13.3
4240,CA Los Angeles,"4,972",12.5
4241,CA Los Angeles,"3,673",13.9
4242,CA Los Angeles,"4,279",10.1
4243,CA Los Angeles,"2,675",11.3
4244,CA Los Angeles,"2,512",5.9
4245,CA Los Angeles,"2,525",5.5
4246,CA Los Angeles,"3,254",11.3
4247,CA Los Angeles,"3,429",9.3
4248,CA Los Angeles,"4,322",8.7
4249,CA Los Angeles,"4,993",8.4
4250,CA Los Angeles,"4,688",12.7
4251,CA Los Angeles,"4,113",12.5
4252,CA Los Angeles,"4,523",3.2
4253,CA Los Angeles,"2,784",10.1
4254,CA Los Angeles,"5,871",6.1
4255,CA Los Angeles,"3,966",10.5
4256,CA Los Angeles,"3,664",6.8
4257,CA Los Angeles,"4,074",12.5
4258,CA Los Angeles,"3,503",8.9
4259,CA Los Angeles,"5,395",7.1
4260,CA Los Angeles,"4,580",5.2
4261,CA Los Angeles,"2,744",7.5
4262,CA Los Angeles,"4,113",11.9
4263,CA Los Angeles,"3,310",13.0
4264,CA Los Angeles,"5,198",10.8
4265,CA Los Angeles,"3,180",11.6
4266,CA Los Angeles,"3,004",7.3
4267,CA Los Angeles,"4,462",8.2
4268,CA Los Angeles,"3,903",9.4
4269,CA Los Angeles,"5,267",14.1
4270,CA Los Angeles,"3,938",13.3
4271,CA Los Angeles,"3,228",11.8
4272,CA Los Angeles,"3,205",3.9
4273,CA Los Angeles,"4,337",7.3
4274,CA Los Angeles,"3,573",10.2
4275,CA Los Angeles,"2,065",10.1
4276,CA Los Angeles,"2,146",18.7
4277,CA Los Angeles,"2,789",15.0
4278,CA Los Angeles,"5,631",15.0
4279,CA Los Angeles,"3,110",3.5
4280,CA Los Angeles,"2,805",10.8
4281,CA Los Angeles,"2,830",11.4
4282,CA Los Angeles,"3,414",8.9
4283,CA Los Angeles,"2,489",8.6
4284,CA Los Angeles,"4,179",13.3
4285,CA Los Angeles,"3,449",10.6
4286,CA Los Angeles,"2,411",6.9
4287,CA Los Angeles,"7,560",10.0
4288,CA Los Angeles,"3,885",6.6
4289,CA Los Angeles,"4,714",11.9
4290,CA Los Angeles,"5,880",10.7
4291,CA Los Angeles,"4,354",8.0
4292,CA Los Angeles,"3,320",12.6
4293,CA Los Angeles,"3,888",14.4
4294,CA Los Angeles,"5,383",12.2
4295,CA Los Angeles,"2,968",15.1
4296,CA Los Angeles,"4,787",17.2
4297,CA Los Angeles,"4,338",8.7
4298,CA Los Angeles,"2,487",9.7
4299,CA Los Angeles,"3,765",11.4
4300,CA Los Angeles,186,8.5
4301,CA Los Angeles,"3,565",14.9
4302,CA Los Angeles,"3,203",7.0
4303,CA Los Angeles,"4,412",5.3
4304,CA Los Angeles,"3,824",14.7
4305,CA Los Angeles,"3,705",14.0
4306,CA Los Angeles,"4,140",12.6
4307,CA Los Angeles,"4,660",11.9
4308,CA Los Angeles,"4,541",10.6
4309,CA Los Angeles,"4,192",7.4
4310,CA Los Angeles,"4,589",13.6
4311,CA Los Angeles,"3,909",8.3
4312,CA Los Angeles,"4,995",8.8
4313,CA Los Angeles,"5,063",3.2
4314,CA Los Angeles,"3,927",13.0
4315,CA Los Angeles,"5,108",8.4
4316,CA Los Angeles,"3,068",10.8
4317,CA Los Angeles,"3,293",12.1
4318,CA Los Angeles,"3,477",13.8
4319,CA Los Angeles,"5,859",8.3
4320,CA Los Angeles,"4,089",13.5
4321,CA Los Angeles,"3,158",6.0
4322,CA Los Angeles,"3,562",13.2
4323,CA Los Angeles,"2,785",7.4
4324,CA Los Angeles,"3,965",13.0
4325,CA Los Angeles,"4,708",6.4
4326,CA Los Angeles,"4,932",13.7
4327,CA Los Angeles,"4,341",12.1
4328,CA Los Angeles,"4,688",10.6
4329,CA Los Angeles,"3,564",10.8
4330,CA Los Angeles,"4,726",9.8
4331,CA Los Angeles,"2,801",6.1
4332,CA Los Angeles,"3,812",9.1
4333,CA Los Angeles,"3,323",13.5
4334,CA Los Angeles,"4,591",10.4
4335,CA Los Angeles,"2,601",12.3
4336,CA Los Angeles,"3,122",11.8
4337,CA Los Angeles,"4,019",12.6
4338,CA Los Angeles,"4,163",5.9
4339,CA Los Angeles,"3,954",10.9
4340,CA Los Angeles,"2,197",7.4
4341,CA Los Angeles,"5,557",9.6
4342,CA Los Angeles,"3,791",7.0
4343,CA Los Angeles,"3,806",15.7
4344,CA Los Angeles,"6,272",10.6
4345,CA Los Angeles,"4,098",14.1
4346,CA Los Angeles,"3,417",14.2
4347,CA Los Angeles,"5,218",12.4
4348,CA Los Angeles,"2,319",5.2
4349,CA Los Angeles,"3,635",7.0
4350,CA Los Angeles,"2,428",9.4
4351,CA Los Angeles,"2,607",15.0
4352,CA Los Angeles,145,9.7
4353,CA Los Angeles,"2,351",9.4
4354,CA Los Angeles,"4,199",5.8
4355,CA Los Angeles,"4,309",9.4
4356,CA Los Angeles,"2,870",7.2
4357,CA Los Angeles,"4,403",12.5
4358,CA Los Angeles,"3,506",9.2
4359,CA Los Angeles,"5,262",13.8
4360,CA Los Angeles,"6,295",9.7
4361,CA Los Angeles,"2,775",12.1
4362,CA Los Angeles,"2,735",5.7
4363,CA Los Angeles,"3,042",7.6
4364,CA Los Angeles,173,7.3
4365,CA Los Angeles,"4,657",9.7
4366,CA Los Angeles,"3,343",14.4
4367,CA Los Angeles,"2,037",6.6
4368,CA Los Angeles,"4,038",10.4
4369,CA Los Angeles,"3,539",7.9
4370,CA Los Angeles,"4,526",6.9
4371,CA Los Angeles,"5,551",7.8
4372,CA Los Angeles,"3,184",9.9
4373,CA Los Angeles,"4,484",7.9
4374,CA Los Angeles,"4,288",9.2
4375,CA Los Angeles,"3,191",13.9
4376,CA Los Angeles,"4,478",13.4
4377,CA Los Angeles,"4,753",11.0
4378,CA Los Angeles,"3,903",10.3
4379,CA Los Angeles,"3,411",12.7
4380,CA Los Angeles,"3,019",12.4
4381,CA Los Angeles,"3,536",8.9
4382,CA Los Angeles,"3,089",5.6
4383,CA Los Angeles,"6,170",12.6
4384,CA Los Angeles,"5,350",15.3
4385,CA Los Angeles,"5,404",9.4
4386,CA Los Angeles,"2,176",13.7
4387,CA Los Angeles,"3,549",9.2
4388,CA Los Angeles,"4,341",7.6
4389,CA Los Angeles,"2,675",13.4
4390,CA Los Angeles,"3,488",7.0
4391,CA Los Angeles,"3,618",14.1
4392,CA Los Angeles,"3,606",12.0
4393,CA Los Angeles,"2,939",11.4
4394,CA Los Angeles,"2,715",14.2
4395,CA Los Angeles,"3,512",8.8
4396,CA Los Angeles,"2,433",15.0
4397,CA Los Angeles,"2,376",8.5
4398,CA Los Angeles,"2,776",2.2
4399,CA Los Angeles,"3,991",11.7
4400,CA Los Angeles,"3,567",7.4
4401,CA Los Angeles,"3,216",15.0
4402,CA Los Angeles,"3,881",11.1
4403,CA Los Angeles,"3,621",15.3
4404,CA Los Angeles,"3,944",6.2
4405,CA Los Angeles,"5,374",9.2
4406,CA Los Angeles,"3,236",8.3
4407,CA Los Angeles,"5,057",9.5
4408,CA Los Angeles,"3,720",10.5
4409,CA Los Angeles,"2,422",11.2
4410,CA Los Angeles,"3,942",10.8
4411,CA Los Angeles,"2,477",4.1
4412,CA Los Angeles,"5,895",14.1
4413,CA Los Angeles,"3,498",8.3
4414,CA Los Angeles,"3,612",12.7
4415,CA Los Angeles,"2,411",5.8
4416,CA Los Angeles,"4,679",12.4
4417,CA Los Angeles,"2,423",5.0
4418,CA Los Angeles,"4,351",10.8
4419,CA Los Angeles,"4,325",5.9
4420,CA Los Angeles,"4,731",9.6
4421,CA Los Angeles,"5,310",9.6
4422,CA Los Angeles,"4,750",9.0
4423,CA Los Angeles,"6,409",9.5
4424,CA Los Angeles,"4,417",12.7
4425,CA Los Angeles,"3,755",12.5
4426,CA Los Angeles,"3,513",8.2
4427,CA Los Angeles,"3,270",5.3
4428,CA Los Angeles,"5,000",11.2
4429,CA Los Angeles,"4,219",10.9
4430,CA Los Angeles,"3,894",8.7
4431,CA Los Angeles,"6,087",6.4
4432,CA Los Angeles,"2,201",8.8
4433,CA Los Angeles,"3,670",11.3
4434,CA Los Angeles,"2,631",10.5
4435,CA Los Angeles,"3,289",6.3
4436,CA Los Angeles,554,5.4
4437,CA Los Angeles,"3,252",8.0
4438,CA Los Angeles,"4,085",10.9
4439,CA Mission Viejo,"93,305",8.1
4440,CA Newport Beach,"6,958",7.4
4441,CA Menifee,"2,594",13.4
4442,CA Napa,"2,856",9.6
4443,CA Napa,"2,951",8.8
4444,CA Murrieta,"3,771",8.9
4445,CA Moreno Valley,"4,669",15.2
4446,CA Moreno Valley,"9,483",8.1
4447,CA Manteca,"4,463",9.5
4449,CA Modesto,"5,038",12.8
4450,CA Merced,"3,983",11.9
4452,CA Newport Beach,"2,832",9.8
4453,CA Mountain View,"5,121",5.7
4454,CA Modesto,"6,188",11.1
4455,CA Merced,"6,055",13.2
4456,CA Moreno Valley,"4,071",10.5
4457,CA Mission Viejo,"3,539",8.9
4458,CA Modesto,"3,567",11.3
4459,CA Manteca,"3,646",8.7
4460,CA Norwalk,"7,727",8.8
4461,CA Milpitas,"4,883",10.5
4462,CA Modesto,"5,214",10.7
4463,CA Modesto,"2,196",12.6
4464,CA Menifee,"3,468",7.6
4465,CA Manteca,"4,493",8.1
4466,CA Newport Beach,"2,411",6.9
4467,CA Milpitas,"66,790",9.3
4468,CA Moreno Valley,"3,299",9.9
4469,CA Napa,"2,014",9.4
4470,CA Moreno Valley,"6,365",11.8
4471,CA Norwalk,"6,835",10.4
4472,CA Mission Viejo,"3,075",8.3
4473,CA Menifee,"1,199",9.5
4474,CA Murrieta,"5,486",8.9
4475,CA Lynwood,"69,772",11.4
4476,CA Mountain View,"5,261",6.5
4477,CA Norwalk,"1,146",15.5
4478,CA Mission Viejo,"3,840",7.8
4479,CA Newport Beach,605,6.9
4480,CA Mission Viejo,"5,715",7.6
4481,CA Merced,"2,495",11.0
4482,CA Manteca,174,10.3
4483,CA Modesto,"2,489",9.8
4484,CA Milpitas,"5,092",9.6
4485,CA Moreno Valley,"4,997",10.2
4486,CA Modesto,"2,589",16.9
4487,CA Menifee,"4,543",18.6
4488,CA Newport Beach,"85,186",6.1
4489,CA Mission Viejo,"2,589",6.2
4490,CA Modesto,"17,129",8.0
4491,CA Moreno Valley,"4,107",8.7
4492,CA Modesto,"6,021",11.4
4493,CA Milpitas,"3,591",9.2
4494,CA Lynwood,"2,370",12.2
4496,CA Mountain View,586,7.9
4497,CA Mountain View,"6,396",5.9
4498,CA Napa,"5,013",8.3
4499,CA Menifee,"2,142",20.8
4500,CA Newport Beach,"1,626",9.8
4501,CA Moreno Valley,"8,245",9.3
4502,CA Menifee,"5,729",7.1
4503,CA Napa,"4,248",10.7
4504,CA Merced,"3,213",11.7
4505,CA Norwalk,"6,881",10.1
4506,CA Moreno Valley,"4,177",11.8
4507,CA Manteca,"4,349",9.5
4508,CA Modesto,"8,628",9.8
4509,CA Newport Beach,"2,800",7.5
4510,CA Moreno Valley,"5,048",12.1
4511,CA Milpitas,"9,882",5.8
4512,CA Modesto,"4,218",13.8
4513,CA Murrieta,"6,791",6.2
4514,CA Modesto,"3,623",9.5
4515,CA Moreno Valley,"6,727",9.4
4516,CA Milpitas,"2,373",8.8
4517,CA Lynwood,"6,943",9.9
4518,CA Mission Viejo,"2,373",9.2
4519,CA Murrieta,"12,593",8.1
4520,CA Napa,"3,242",8.2
4522,CA Mountain View,"2,541",7.3
4523,CA Modesto,"4,199",10.5
4524,CA Moreno Valley,"3,280",11.9
4526,CA Moreno Valley,"3,612",12.9
4527,CA Norwalk,"105,549",11.3
4528,CA Manteca,"4,016",11.6
4529,CA Norwalk,"5,720",10.5
4530,CA Moreno Valley,"3,278",10.9
4531,CA Lynwood,"69,772",14.6
4532,CA Mountain View,"4,267",6.4
4533,CA Mission Viejo,"93,305",7.0
4534,CA Modesto,"6,430",12.4
4535,CA Mission Viejo,"3,654",7.5
4536,CA Merced,"6,336",11.3
4537,CA Menifee,"4,905",13.7
4538,CA Murrieta,"5,404",8.3
4539,CA Newport Beach,857,9.7
4541,CA Modesto,"6,042",10.9
