,AZ_City,AZ_PopByMM,AZ_DeathPer100k
1021,AZ Tucson,4173,7.7
1022,AZ Tucson,4116,8.0
1024,AZ Yuma,3560,13.7
1025,AZ Scottsdale,4143,8.8
1027,AZ Scottsdale,2218,10.2
1031,AZ Scottsdale,5264,8.9
1034,AZ Tucson,3194,10.4
1039,AZ Tempe,4504,4.2
1040,AZ Tempe,1668,6.3
1043,AZ Yuma,3172,2.1
1044,AZ Surprise,4525,6.5
1046,AZ Tucson,6442,13.1
1047,AZ Scottsdale,2896,8.3
1048,AZ Tempe,4011,7.5
1050,AZ Tucson,2821,10.1
1051,AZ Tucson,8085,12.2
1053,AZ Surprise,117517,8.0
1055,AZ Tucson,2347,6.6
1058,AZ Tucson,4761,6.8
1059,AZ Surprise,3170,9.5
1060,AZ Tucson,3850,11.0
1061,AZ Tucson,5644,14.8
1063,AZ Scottsdale,2466,6.5
1066,AZ Tucson,326,6.6
1067,AZ Tucson,2900,15.1
1068,AZ Surprise,2417,6.7
1069,AZ Tucson,3232,13.2
1070,AZ Scottsdale,5388,8.4
1072,AZ Tucson,7131,11.3
1074,AZ Tucson,204,8.8
1079,AZ Scottsdale,3810,9.7
1080,AZ Tempe,6595,6.7
1086,AZ Scottsdale,3056,8.1
1087,AZ Tucson,3859,9.8
1088,AZ Scottsdale,3314,10.2
1089,AZ Surprise,6699,7.1
1090,AZ Yuma,5158,11.9
1091,AZ Surprise,2298,9.8
1094,AZ Tempe,81,8.7
1098,AZ Tempe,6674,6.1
1100,AZ Scottsdale,151,12.2
1102,AZ Surprise,5832,15.1
1103,AZ Tucson,4557,11.0
1105,AZ Yuma,5891,7.4
1107,AZ Tempe,4790,8.5
1109,AZ Tucson,6534,11.4
1110,AZ Tucson,309,11.3
1112,AZ Tucson,3764,5.0
1115,AZ Tucson,4676,5.7
1116,AZ Tucson,5630,7.3
1120,AZ Tucson,1544,7.4
1123,AZ Surprise,3222,14.4
1127,AZ Tucson,6099,8.0
1128,AZ Surprise,2365,15.4
1129,AZ Yuma,2922,10.3
1130,AZ Scottsdale,5825,6.6
1131,AZ Scottsdale,3136,7.8
1135,AZ Tucson,5048,7.4
1138,AZ Tucson,520116,9.7
1139,AZ Tucson,4431,9.3
1141,AZ Tempe,2420,11.0
1143,AZ Tempe,2278,8.1
1144,AZ Tucson,2868,7.5
1147,AZ Tucson,631,4.8
1148,AZ Yuma,1108,16.4
1152,AZ Tucson,1296,12.2
1153,AZ Tucson,3675,10.5
1155,AZ Tempe,4865,7.7
1157,AZ Scottsdale,4594,7.5
1161,AZ Scottsdale,2483,8.5
1162,AZ Tucson,3802,9.2
1163,AZ Tucson,1147,9.5
1165,AZ Scottsdale,4298,7.3
1166,AZ Tucson,4112,8.9
1167,AZ Tucson,9289,2.3
1169,AZ Surprise,5539,7.4
1170,AZ Tucson,2683,12.3
1171,AZ Tucson,5619,8.5
1172,AZ Scottsdale,1861,9.3
1174,AZ Tucson,2908,8.8
1178,AZ Scottsdale,3166,7.3
1179,AZ Tucson,3170,10.3
1180,AZ Surprise,5579,6.6
1185,AZ Tucson,6988,11.7
1186,AZ Scottsdale,4911,8.1
1188,AZ Tucson,2087,11.0
1190,AZ Tempe,3200,8.1
1193,AZ Tucson,3811,6.2
1196,AZ Tempe,4348,9.2
1197,AZ Tucson,3611,11.6
1198,AZ Tempe,161719,8.7
1199,AZ Yuma,2502,12.2
1200,AZ Scottsdale,2861,6.1
2657,AZ Avondale,6114,12.4
2667,AZ Gilbert,3291,13.4
2668,AZ Avondale,2065,7.8
2677,AZ Chandler,2028,6.1
2679,AZ Gilbert,4909,6.0
2687,AZ Gilbert,4523,7.6
2689,AZ Avondale,3833,9.1
2695,AZ Gilbert,3670,7.2
2698,AZ Avondale,76238,11.3
2703,AZ Gilbert,9135,6.2
2708,AZ Chandler,5228,7.0
2712,AZ Chandler,2923,7.5
2716,AZ Gilbert,452,5.3
2720,AZ Gilbert,4977,8.3
2724,AZ Gilbert,6564,4.5
2728,AZ Gilbert,4262,6.1
2733,AZ Avondale,5757,7.8
2734,AZ Chandler,5544,6.0
2737,AZ Chandler,5168,9.6
2739,AZ Avondale,3936,7.9
2741,AZ Chandler,2960,16.4
2744,AZ Gilbert,5926,6.8
2747,AZ Gilbert,5525,4.9
2748,AZ Chandler,236123,7.9
2756,AZ Chandler,4582,5.9
2760,AZ Chandler,6775,6.3
2761,AZ Gilbert,4083,3.9
2762,AZ Avondale,4905,7.3
2764,AZ Chandler,2137,8.7
2767,AZ Chandler,5988,6.5
2774,AZ Avondale,1972,14.8
2779,AZ Avondale,2840,15.0
2780,AZ Chandler,4853,6.6
2789,AZ Gilbert,5189,7.9
2792,AZ Chandler,5202,6.3
2795,AZ Gilbert,2734,6.5
2800,AZ Chandler,2225,6.8
2804,AZ Chandler,3408,8.0
2814,AZ Chandler,4008,5.3
2816,AZ Avondale,3978,6.8
2818,AZ Chandler,102,14.7
2824,AZ Gilbert,3982,5.2
2827,AZ Chandler,6026,8.6
2840,AZ Gilbert,5029,6.4
2846,AZ Chandler,4210,5.5
2847,AZ Chandler,4549,11.9
2848,AZ Avondale,5366,7.6
2861,AZ Chandler,1974,9.0
2869,AZ Gilbert,5037,6.5
2871,AZ Chandler,5557,6.8
2876,AZ Gilbert,6197,5.2
2879,AZ Chandler,3617,6.5
2890,AZ Gilbert,5476,6.6
2896,AZ Chandler,4235,6.3
2898,AZ Chandler,2301,6.5
2906,AZ Glendale,4756,14.8
2907,AZ Glendale,4045,10.8
2908,AZ Phoenix,2738,7.6
2909,AZ Phoenix,4274,7.2
2910,AZ Phoenix,6298,10.8
2911,AZ Mesa,4654,11.7
2912,AZ Phoenix,4685,10.0
2913,AZ Mesa,3178,9.3
2914,AZ Glendale,5001,10.6
2915,AZ Phoenix,3030,6.1
2916,AZ Phoenix,4748,12.3
2917,AZ Phoenix,5033,11.7
2918,AZ Mesa,4745,9.3
2919,AZ Phoenix,4303,6.4
2920,AZ Peoria,1025,8.6
2921,AZ Glendale,4398,7.1
2922,AZ Phoenix,4312,6.1
2923,AZ Phoenix,3383,5.9
2924,AZ Phoenix,2323,16.7
2925,AZ Phoenix,3012,7.1
2926,AZ Phoenix,2474,12.5
2927,AZ Phoenix,2599,6.9
2928,AZ Phoenix,1796,9.7
2931,AZ Phoenix,6397,5.5
2932,AZ Mesa,2918,5.2
2933,AZ Phoenix,2108,6.6
2934,AZ Phoenix,1850,7.7
2935,AZ Phoenix,2570,9.3
2936,AZ Glendale,2312,9.3
2937,AZ Mesa,4148,14.9
2938,AZ Glendale,226721,10.3
2939,AZ Glendale,2691,8.6
2940,AZ Phoenix,3175,11.4
2941,AZ Mesa,4746,9.1
2942,AZ Mesa,3889,10.2
2943,AZ Phoenix,4450,12.2
2944,AZ Phoenix,3062,6.7
2945,AZ Peoria,3501,4.5
2946,AZ Phoenix,2779,8.8
2947,AZ Mesa,3754,15.0
2948,AZ Phoenix,3813,11.3
2949,AZ Phoenix,5546,5.9
2950,AZ Mesa,3380,11.5
2951,AZ Phoenix,6628,6.1
2952,AZ Mesa,2794,7.4
2953,AZ Phoenix,3300,10.7
2955,AZ Phoenix,2859,9.0
2956,AZ Peoria,6306,9.1
2957,AZ Phoenix,4089,10.0
2958,AZ Mesa,3120,7.9
2959,AZ Phoenix,4888,8.2
2960,AZ Phoenix,6202,13.8
2961,AZ Mesa,1868,10.2
2962,AZ Peoria,2817,12.4
2963,AZ Phoenix,7935,13.9
2964,AZ Peoria,154065,8.7
2965,AZ Peoria,1125,10.8
2966,AZ Phoenix,5125,9.4
2967,AZ Phoenix,2522,7.5
2968,AZ Mesa,4601,8.7
2969,AZ Phoenix,2655,11.8
2970,AZ Phoenix,3862,14.5
2971,AZ Peoria,4099,8.9
2972,AZ Phoenix,1570,16.0
2973,AZ Glendale,4385,13.5
2974,AZ Phoenix,4529,13.4
2975,AZ Phoenix,7325,11.6
2976,AZ Mesa,4910,7.8
2977,AZ Peoria,6029,6.1
