,NY_City,NY_PopByMM,NY_DeathPer100k
18032,NY New York,2607,13.6
18033,NY New York,1241,13.1
18034,NY New York,7066,5.3
18035,NY New York,4495,13.5
18036,NY New York,3633,9.6
18038,NY New York,7275,7.8
18039,NY New York,1422,11.0
18040,NY New York,7980,12.7
18041,NY New York,8887,13.2
18042,NY New York,2826,7.6
18043,NY New York,4700,10.4
18044,NY New York,1504,11.1
18045,NY New York,1152,12.2
18046,NY New York,1551,12.2
18047,NY New York,4135,10.8
18048,NY New York,1673,10.8
18049,NY New York,6502,19.4
18050,NY New York,2530,9.5
18051,NY New York,1304,13.2
18052,NY New York,1773,11.2
18053,NY New York,3838,11.8
18054,NY New York,2680,10.1
18055,NY New York,3849,12.8
18056,NY New York,3625,9.1
18057,NY New York,2795,13.1
18058,NY New York,3101,13.4
18059,NY New York,2881,10.6
18060,NY New York,1833,11.5
18061,NY New York,3397,11.4
18062,NY New York,3400,13.0
18063,NY New York,2577,10.3
18064,NY New York,3216,11.8
18065,NY New York,5325,9.9
18066,NY New York,2253,14.0
18067,NY New York,1731,2.7
18068,NY New York,4018,11.9
18069,NY New York,1788,10.6
18070,NY New York,2504,9.2
18071,NY New York,2896,11.3
18072,NY New York,2047,13.5
18073,NY New York,1655,4.3
18074,NY New York,1621,7.4
18075,NY New York,4024,11.1
18076,NY New York,4814,11.7
18077,NY New York,2161,13.1
18078,NY New York,5301,10.9
18079,NY New York,1578,17.0
18080,NY New York,6208,5.2
18081,NY New York,2413,11.3
18082,NY New York,2374,10.6
18083,NY New York,8428,13.6
18084,NY New York,8463,13.0
18085,NY New York,2228,5.9
18086,NY New York,1887,8.4
18087,NY New York,2164,12.2
18088,NY New York,3934,7.7
18089,NY New York,3920,11.7
18090,NY New York,3820,9.9
18091,NY New York,3737,13.3
18092,NY New York,3521,7.5
18093,NY New York,5955,11.0
18094,NY New York,4160,10.3
18095,NY New York,4259,8.9
18096,NY New York,2640,10.3
18097,NY New York,3005,17.7
18098,NY New York,1054,11.4
18099,NY New York,3317,9.7
18100,NY New York,1123,9.2
18101,NY New York,11740,6.7
18102,NY New York,6232,10.7
18103,NY New York,3624,10.2
18104,NY New York,12444,5.0
18105,NY New York,3923,13.5
18106,NY New York,5224,3.7
18107,NY New York,8109,2.2
18108,NY New York,2058,3.8
18109,NY New York,3928,6.3
18110,NY New York,3778,10.9
18111,NY New York,1852,8.4
18112,NY New York,1810,10.9
18113,NY New York,3744,6.5
18114,NY New York,2811,10.1
18115,NY New York,3596,4.7
18116,NY New York,2690,9.8
18117,NY New York,3578,5.2
18118,NY New York,8234,5.9
18119,NY New York,2310,8.0
18120,NY New York,2931,11.4
18121,NY New York,2173,11.8
18122,NY New York,2943,10.4
18123,NY New York,2950,9.9
18124,NY New York,5145,3.2
18125,NY New York,6220,11.4
18126,NY New York,3848,7.3
18127,NY New York,8348,13.5
18128,NY New York,8780,8.3
18129,NY New York,4597,11.6
18130,NY New York,5280,13.1
18131,NY New York,6398,12.3
18132,NY New York,3554,12.1
18133,NY New York,3500,13.2
18134,NY New York,2229,6.2
18135,NY New York,1368,13.5
18136,NY New York,2782,9.1
18137,NY New York,1545,12.3
18138,NY New York,8974,6.7
18139,NY New York,5308,10.9
18140,NY New York,4241,15.9
18141,NY New York,5851,14.7
18142,NY New York,8185,10.4
18143,NY New York,7027,6.3
18144,NY New York,3979,8.5
18145,NY New York,2624,16.4
18146,NY New York,4853,11.5
18147,NY New York,2098,13.8
18148,NY New York,6426,17.3
18149,NY New York,2506,12.8
18150,NY New York,4497,7.1
18151,NY New York,1442,14.6
18152,NY New York,3667,14.5
18153,NY New York,5586,13.0
18154,NY New York,3367,13.1
18155,NY New York,8726,12.6
18156,NY New York,3254,8.3
18157,NY New York,2778,7.2
18158,NY New York,7430,9.7
18159,NY New York,3761,10.9
18160,NY New York,5582,14.5
18161,NY New York,3186,6.5
18162,NY New York,3633,7.7
18163,NY New York,1277,8.8
18164,NY New York,3712,12.0
18165,NY New York,4102,9.0
18166,NY New York,1675,10.5
18167,NY New York,5248,16.3
18168,NY New York,7476,1.9
18169,NY New York,1708,9.6
18170,NY New York,2128,10.6
18171,NY New York,3931,12.3
18172,NY New York,4947,14.7
18173,NY New York,3755,9.5
18174,NY New York,2097,8.1
