,IL_City,IL_PopByMM,IL_DiagPer100k
11063,IL Chicago,"4,243",5.4
11064,IL Chicago,"1,692",11.6
11065,IL Joliet,"147,433",10.0
11066,IL Chicago,"6,628",11.7
11067,IL Chicago,"2,780",10.3
11068,IL Chicago,"2,483",15.4
11069,IL Chicago,755,18.7
11070,IL Chicago,255,10.7
11071,IL Peoria,"2,631",20.1
11072,IL Chicago,"2,646",5.2
11073,IL Peoria,"1,087",16.0
11074,IL Chicago,"3,723",9.0
11075,IL Chicago,"1,670",5.7
11076,IL Chicago,"3,914",12.6
11077,IL Chicago,"4,256",4.9
11078,IL Chicago,"5,338",16.4
11079,IL Chicago,"7,311",5.1
11080,IL Joliet,"3,082",11.1
11081,IL Evanston,"5,739",8.6
11082,IL Chicago,"3,817",13.8
11083,IL Decatur,"1,544",13.9
11084,IL Chicago,"5,658",12.4
11085,IL Chicago,"3,085",18.1
11086,IL Chicago,"1,271",21.4
11087,IL Chicago,"2,276",11.4
11088,IL Chicago,"1,598",10.4
11089,IL Chicago,"1,422",19.5
11090,IL Chicago,"4,610",15.2
11091,IL Chicago,"3,427",12.4
11092,IL Chicago,"3,100",11.6
11093,IL Naperville,"8,029",6.8
11094,IL Chicago,"2,278",7.0
11095,IL Chicago,"3,545",16.5
11096,IL Joliet,"2,722",8.9
11097,IL Chicago,"3,950",11.3
11098,IL Chicago,"5,458",10.3
11099,IL Elgin,"6,771",11.9
11100,IL Chicago,"1,295",13.8
11101,IL Chicago,"4,832",9.2
11102,IL Chicago,"4,650",9.3
11103,IL Chicago,"2,251",2.2
11104,IL Chicago,"4,257",10.7
11105,IL Decatur,"1,266",14.1
11106,IL Chicago,"1,704",9.9
11107,IL Chicago,"1,336",8.5
11108,IL Chicago,"1,243",17.7
11109,IL Chicago,"4,302",19.0
11110,IL Peoria,"3,294",9.2
11111,IL Naperville,"3,606",9.1
11112,IL Evanston,"74,486",7.8
11113,IL Palatine,"4,314",7.8
11114,IL Chicago,"5,152",18.9
11115,IL Joliet,"1,116",11.1
11116,IL Chicago,"3,092",5.5
11117,IL Chicago,"2,219",18.5
11118,IL Chicago,"4,352",8.9
11119,IL Chicago,"2,683",3.7
11120,IL Chicago,"2,191",21.9
11121,IL Joliet,"2,931",11.6
11122,IL Chicago,"4,110",8.7
11123,IL Chicago,"3,705",16.4
11124,IL Chicago,"2,963",17.3
11125,IL Chicago,"3,893",9.6
11126,IL Joliet,"6,105",8.4
11127,IL Chicago,849,10.5
11128,IL Joliet,"1,793",17.1
11129,IL Chicago,"3,371",10.4
11130,IL Chicago,"5,397",9.0
11131,IL Naperville,"5,832",7.8
11132,IL Chicago,"2,984",5.8
11133,IL Chicago,"2,258",17.6
11134,IL Chicago,"3,206",17.3
11135,IL Chicago,"1,631",9.0
11136,IL Chicago,"2,304",5.6
11137,IL Chicago,"1,647",2.2
11138,IL Chicago,"2,331",18.6
11139,IL Chicago,"3,498",21.1
11140,IL Chicago,"1,397",18.3
11141,IL Chicago,"2,609",10.9
11142,IL Chicago,"7,498",12.2
11143,IL Chicago,"6,866",2.9
11144,IL Chicago,"3,772",14.1
11145,IL Chicago,"3,438",6.9
11146,IL Chicago,"5,150",6.7
11147,IL Chicago,"1,441",19.4
11148,IL Peoria,"3,115",17.3
11149,IL Chicago,"6,399",10.8
11150,IL Chicago,"1,491",17.2
11151,IL Chicago,"1,280",12.5
11152,IL Chicago,"1,709",3.0
11153,IL Chicago,"4,609",19.5
11154,IL Chicago,"2,891",11.5
11155,IL Chicago,"1,182",10.6
11156,IL Chicago,"3,681",18.8
11157,IL Chicago,"3,615",17.8
11158,IL Chicago,"1,529",2.7
11159,IL Evanston,"2,717",7.5
11160,IL Chicago,"3,900",10.6
11161,IL Chicago,"6,137",11.8
11162,IL Cicero,"4,746",10.7
11163,IL Chicago,"2,688",16.9
11164,IL Naperville,"3,303",6.1
11165,IL Palatine,"2,997",9.3
11166,IL Chicago,"1,752",13.6
11167,IL Joliet,"7,441",6.5
11168,IL Chicago,"2,768",4.2
11169,IL Chicago,"2,539",19.2
11170,IL Chicago,"6,322",8.3
11171,IL Decatur,"2,443",10.4
11172,IL Chicago,"4,422",15.5
11173,IL Chicago,"6,364",11.9
11175,IL Chicago,"1,516",15.9
11176,IL Chicago,"1,199",14.7
11177,IL Cicero,"4,884",12.0
11178,IL Chicago,"4,163",8.0
11179,IL Chicago,"4,757",16.6
11180,IL Chicago,"2,405",7.8
11181,IL Chicago,"4,381",13.6
11182,IL Chicago,"5,143",9.5
11183,IL Chicago,"3,606",5.2
11184,IL Chicago,"4,240",6.0
11185,IL Chicago,"1,716",9.4
11186,IL Decatur,"3,455",10.4
11187,IL Chicago,"1,665",17.4
11188,IL Chicago,"1,514",6.0
11189,IL Chicago,"2,916",17.3
11190,IL Chicago,"1,598",19.9
11191,IL Chicago,"3,517",19.8
11192,IL Chicago,"4,713",6.4
11193,IL Chicago,"2,839",3.6
11194,IL Elgin,"3,767",10.6
11195,IL Chicago,"5,093",8.9
11196,IL Chicago,"6,477",6.9
11197,IL Chicago,"1,689",19.2
11198,IL Naperville,"4,900",7.0
11199,IL Chicago,"1,559",15.9
11200,IL Elgin,"3,581",7.0
11201,IL Chicago,"3,498",5.5
11202,IL Chicago,"3,222",6.4
11203,IL Chicago,"2,886",19.2
11204,IL Chicago,"1,314",11.6
11205,IL Chicago,"1,166",16.2
11206,IL Chicago,"4,754",5.0
11207,IL Chicago,"5,034",11.9
11208,IL Chicago,"4,442",2.3
11209,IL Chicago,"2,040",13.7
11210,IL Chicago,"3,370",3.1
11211,IL Chicago,"1,252",19.2
11212,IL Chicago,"3,886",8.5
11213,IL Chicago,"1,623",10.6
11214,IL Chicago,"2,448",17.2
11215,IL Chicago,"1,545",17.5
11216,IL Chicago,"2,796",9.8
11217,IL Chicago,"6,229",4.4
11218,IL Joliet,"5,371",6.2
11219,IL Chicago,"3,648",3.5
11220,IL Chicago,"3,721",9.0
11221,IL Chicago,"2,662",8.5
11222,IL Chicago,"3,297",4.4
11223,IL Chicago,"4,396",11.9
11224,IL Decatur,"4,490",11.4
11225,IL Chicago,"5,527",11.7
11226,IL Chicago,"5,005",8.0
11227,IL Chicago,"3,190",9.4
11228,IL Chicago,"1,857",4.6
11229,IL Peoria,"3,840",11.7
11230,IL Chicago,"1,201",8.6
11231,IL Chicago,"1,442",14.0
11232,IL Chicago,"5,719",18.7
11233,IL Chicago,"2,078",20.7
11234,IL Evanston,"4,611",13.9
11235,IL Chicago,"4,309",9.3
11236,IL Naperville,"5,451",7.5
11237,IL Chicago,"3,304",17.6
11238,IL Chicago,"2,835",17.1
11239,IL Chicago,"1,275",20.4
11240,IL Chicago,"4,083",13.7
11241,IL Chicago,"6,463",8.7
11242,IL Cicero,"3,502",11.4
11243,IL Chicago,"6,215",12.9
11244,IL Chicago,"2,669",14.1
11245,IL Chicago,"5,865",13.6
11246,IL Chicago,"4,198",7.7
11247,IL Naperville,"4,329",8.0
11248,IL Evanston,"4,816",7.0
11249,IL Palatine,"2,705",6.6
11250,IL Chicago,"5,050",14.2
11251,IL Decatur,"3,938",12.0
11253,IL Chicago,"1,513",2.4
11254,IL Chicago,"3,550",8.8
11255,IL Naperville,"3,600",7.4
11256,IL Peoria,"4,546",7.7
11257,IL Chicago,"11,309",10.7
11258,IL Chicago,"5,868",12.6
11259,IL Chicago,"2,530",7.2
11260,IL Chicago,"6,116",10.5
11261,IL Elgin,"1,661",7.2
11262,IL Joliet,"3,896",14.6
11263,IL Chicago,"5,516",11.3
11264,IL Chicago,"2,144",9.2
11265,IL Chicago,"3,506",2.7
11266,IL Chicago,"5,345",18.0
11267,IL Chicago,"3,640",5.6
11268,IL Chicago,"2,102",5.7
11269,IL Chicago,"1,691",6.7
11270,IL Chicago,"4,123",17.1
11271,IL Chicago,"4,080",8.4
11272,IL Peoria,"2,487",14.7
11273,IL Chicago,"4,520",17.3
11274,IL Chicago,"6,177",10.0
11275,IL Chicago,"3,149",9.8
11276,IL Chicago,"4,865",3.8
11277,IL Chicago,"1,410",8.4
11278,IL Peoria,"115,007",10.9
11279,IL Chicago,"4,019",20.1
11280,IL Chicago,"1,952",16.7
11281,IL Chicago,"4,570",5.5
11282,IL Chicago,"3,891",13.5
11283,IL Chicago,"1,442",25.2
11284,IL Chicago,"2,268",16.7
11285,IL Chicago,"4,516",10.8
11286,IL Chicago,"6,825",7.7
11287,IL Chicago,"3,437",7.5
11288,IL Chicago,"2,386",4.6
11289,IL Chicago,"5,876",19.1
11290,IL Chicago,"2,798",11.7
11291,IL Chicago,"3,530",13.8
11292,IL Chicago,"5,369",13.2
11293,IL Chicago,"2,818",11.6
11294,IL Chicago,"3,567",15.6
11295,IL Chicago,"2,539",19.3
11296,IL Chicago,"3,870",9.4
11297,IL Chicago,"4,168",9.9
11298,IL Chicago,"2,641",5.4
11299,IL Chicago,"1,496",13.0
11300,IL Naperville,"5,825",7.3
11301,IL Chicago,"7,194",11.4
11302,IL Joliet,"3,404",14.6
11303,IL Chicago,"2,138",2.9
11304,IL Chicago,"2,934",18.7
11305,IL Naperville,"5,929",8.5
11306,IL Chicago,"3,604",19.4
11307,IL Peoria,"4,237",10.1
11308,IL Decatur,"2,047",11.1
11309,IL Cicero,"5,334",10.5
11310,IL Chicago,"1,564",17.6
11311,IL Palatine,"5,164",7.1
11312,IL Chicago,"5,133",15.0
11313,IL Chicago,"6,095",15.6
11314,IL Chicago,"2,095",7.4
11315,IL Decatur,"2,004",11.3
11316,IL Chicago,"4,784",18.3
11317,IL Joliet,"3,439",14.5
11318,IL Chicago,"3,443",7.8
11319,IL Chicago,"2,933",7.6
11320,IL Chicago,"2,279",16.5
11321,IL Decatur,"2,265",10.6
11322,IL Chicago,"1,188",14.1
11323,IL Chicago,"4,826",9.2
11324,IL Chicago,"2,015",15.0
11325,IL Chicago,"5,198",10.0
11326,IL Chicago,"4,750",10.0
11327,IL Chicago,"1,380",17.6
11328,IL Chicago,"1,457",5.4
11329,IL Naperville,"5,443",6.7
11330,IL Chicago,"3,983",17.2
11331,IL Chicago,"1,723",14.6
11332,IL Chicago,"3,632",16.0
11333,IL Peoria,"2,550",23.1
11334,IL Chicago,"2,961",16.0
11335,IL Naperville,"2,791",4.9
11336,IL Joliet,"3,301",10.8
11337,IL Peoria,"4,303",9.5
11338,IL Evanston,"4,253",6.5
11339,IL Chicago,"1,248",20.6
11340,IL Joliet,306,18.6
11341,IL Elgin,"3,960",11.2
11342,IL Chicago,"3,405",16.8
11343,IL Chicago,"1,866",8.4
11344,IL Chicago,"5,965",8.6
11345,IL Chicago,"5,831",7.8
11346,IL Naperville,"2,941",5.8
11347,IL Elgin,"3,632",8.9
11348,IL Chicago,"4,345",10.2
11349,IL Joliet,"2,380",9.4
11350,IL Joliet,"3,087",11.4
11351,IL Peoria,"4,677",9.1
11352,IL Chicago,"2,213",15.2
11353,IL Chicago,"2,714",15.3
11354,IL Chicago,"2,279",8.0
11355,IL Chicago,"6,236",10.8
11356,IL Cicero,"83,891",11.4
11357,IL Chicago,"5,397",13.2
11358,IL Chicago,"1,576",12.7
11359,IL Naperville,"4,657",8.3
11360,IL Chicago,"2,976",9.8
11361,IL Chicago,"1,257",9.8
11362,IL Chicago,"3,515",9.4
11363,IL Elgin,"108,188",10.4
11364,IL Chicago,"1,707",6.9
11365,IL Chicago,"5,357",12.8
11366,IL Decatur,"2,597",10.6
11367,IL Chicago,"1,436",6.8
11368,IL Chicago,"3,433",4.6
11369,IL Chicago,"2,198",17.5
11370,IL Chicago,"2,964",15.8
11371,IL Chicago,"3,069",8.3
11372,IL Chicago,"6,236",8.4
11373,IL Chicago,"4,047",6.9
11374,IL Chicago,"5,402",16.4
11375,IL Chicago,907,26.5
11376,IL Palatine,"1,436",6.2
11377,IL Chicago,"3,477",3.7
11378,IL Chicago,"5,531",11.3
11379,IL Joliet,"147,433",11.3
11380,IL Chicago,"7,546",7.3
11381,IL Chicago,"2,969",4.0
11382,IL Chicago,"2,349",8.7
11383,IL Chicago,"7,083",12.0
11384,IL Chicago,"4,188",9.3
11385,IL Chicago,"4,133",9.7
11386,IL Naperville,"3,576",8.0
11387,IL Chicago,"2,444",17.9
11388,IL Chicago,"2,701",16.7
11389,IL Cicero,"7,375",11.2
11390,IL Chicago,"1,024",11.5
11391,IL Decatur,"1,955",17.1
11392,IL Chicago,"4,045",12.5
11393,IL Chicago,"3,181",5.3
11394,IL Chicago,"1,650",18.4
11395,IL Peoria,"4,054",12.9
11396,IL Chicago,"3,864",9.4
11397,IL Chicago,"7,125",12.9
11398,IL Chicago,"5,112",19.0
11399,IL Peoria,"3,879",11.8
11400,IL Chicago,"4,816",12.6
11401,IL Chicago,"1,785",14.4
11402,IL Joliet,"3,259",11.7
11403,IL Chicago,"3,028",6.5
