,TX_City,TX_PopByMM,TX_DiagPer100k
24526,TX Bryan,"3,323",9.2
24527,TX Bryan,"5,379",10.8
24528,TX Austin,152,13.9
24529,TX Austin,331,9.6
24530,TX Austin,"3,583",3.9
24531,TX College Station,"3,367",4.9
24533,TX Austin,"6,908",10.4
24535,TX Corpus Christi,"1,625",16.8
24536,TX College Station,"4,367",9.0
24537,TX Carrollton,"1,391",9.0
24538,TX Brownsville,"5,380",19.4
24539,TX Corpus Christi,"4,146",9.5
24540,TX Corpus Christi,"7,930",14.6
24541,TX Beaumont,"2,396",13.9
24542,TX Austin,"1,484",6.9
24543,TX Austin,383,20.4
24544,TX Austin,"5,341",11.2
24545,TX Corpus Christi,"3,072",14.8
24546,TX Beaumont,"3,311",18.3
24547,TX Corpus Christi,"2,310",8.9
24548,TX Austin,"5,782",11.5
24549,TX Beaumont,"1,029",11.1
24550,TX Austin,"790,390",7.7
24551,TX Brownsville,"3,923",23.9
24552,TX Brownsville,"3,986",15.7
24553,TX Austin,"9,971",5.9
24554,TX Brownsville,"3,019",19.2
24555,TX Austin,"3,984",7.2
24556,TX Austin,"4,657",6.9
24557,TX Austin,"2,697",5.4
24558,TX Corpus Christi,"4,020",22.3
24559,TX Corpus Christi,"1,899",14.5
24560,TX Beaumont,"6,936",9.7
24561,TX Austin,"2,803",7.5
24562,TX Bryan,"5,255",10.1
24564,TX Austin,"3,394",9.4
24565,TX Austin,"6,723",6.4
24566,TX Austin,"3,027",10.5
24567,TX Baytown,"7,485",10.2
24568,TX Austin,"5,270",7.9
24569,TX Brownsville,"2,242",17.6
24570,TX Austin,"4,676",4.6
24571,TX Bryan,"5,543",17.1
24572,TX Austin,"5,550",10.3
24573,TX Corpus Christi,"5,074",10.3
24574,TX Austin,"3,793",8.0
24575,TX Austin,"3,512",7.5
24576,TX Austin,"2,443",5.2
24577,TX Corpus Christi,"2,207",11.4
24578,TX Austin,"3,656",11.9
24579,TX Carrollton,"1,010",5.5
24580,TX College Station,"5,762",3.2
24581,TX Carrollton,"4,650",11.6
24582,TX Brownsville,"2,973",17.9
24583,TX College Station,"93,857",4.8
24584,TX Beaumont,"3,499",22.6
24585,TX Brownsville,"2,236",24.3
24586,TX Austin,"4,747",12.7
24587,TX Corpus Christi,"6,296",13.6
24588,TX Austin,"6,589",6.2
24589,TX Austin,"5,383",7.7
24590,TX College Station,896,1.9
24591,TX Carrollton,"4,703",10.9
24592,TX Beaumont,"2,501",10.6
24593,TX Corpus Christi,"3,978",13.0
24594,TX Austin,"3,890",4.8
24595,TX Carrollton,"5,430",12.3
24596,TX Corpus Christi,"305,215",13.9
24597,TX Baytown,"3,052",13.0
24598,TX Austin,"7,793",2.6
24599,TX Austin,"7,014",7.6
24601,TX Austin,"2,981",4.6
24602,TX Austin,"4,955",8.1
24603,TX College Station,79,7.8
24604,TX Carrollton,"4,810",8.9
24605,TX Austin,"2,429",7.2
24606,TX Austin,"6,478",10.8
24607,TX Carrollton,"5,913",13.6
24608,TX Corpus Christi,"4,259",18.8
24609,TX College Station,"1,352",3.7
24610,TX Austin,420,7.2
24611,TX Brownsville,231,18.5
24612,TX College Station,"1,048",4.2
24613,TX Beaumont,"2,339",16.7
24614,TX Corpus Christi,"3,963",14.6
24615,TX Austin,"5,615",7.5
24616,TX Austin,"4,014",6.6
24617,TX Corpus Christi,"4,912",12.6
24618,TX Brownsville,"4,879",14.3
24619,TX Baytown,"2,352",16.0
24620,TX Corpus Christi,"4,813",9.5
24621,TX Austin,"2,379",7.5
24622,TX Corpus Christi,"4,318",9.7
24623,TX Austin,179,17.9
24624,TX Baytown,"4,116",10.3
24625,TX Austin,"1,799",16.0
24627,TX Austin,"4,008",10.2
24628,TX Austin,"3,611",6.2
24629,TX Beaumont,"1,664",19.6
24630,TX Beaumont,"118,296",13.8
24631,TX Corpus Christi,"2,310",13.5
24632,TX Austin,"4,265",11.5
24633,TX Brownsville,"5,273",17.1
24634,TX Austin,"1,864",4.8
24635,TX Austin,"2,687",6.9
24636,TX College Station,"3,455",3.8
24637,TX Austin,"3,925",6.7
24638,TX Brownsville,85,12.0
24639,TX Austin,"3,422",12.0
24640,TX Austin,"4,165",6.5
24641,TX Corpus Christi,"4,738",20.4
24642,TX College Station,"4,303",7.8
24643,TX Carrollton,368,9.6
24644,TX Corpus Christi,496,15.3
24645,TX Austin,"3,180",9.8
24646,TX Austin,"4,729",6.9
24647,TX Beaumont,"2,724",11.4
24648,TX Austin,"3,916",7.2
24649,TX Beaumont,"2,014",11.5
24650,TX Bryan,"4,542",9.2
24651,TX Austin,"3,564",9.4
24652,TX Corpus Christi,"4,328",14.8
24653,TX Brownsville,"8,544",12.3
24654,TX Austin,"2,035",7.7
24655,TX Corpus Christi,"5,316",12.8
24656,TX Austin,"1,065",8.5
24657,TX Bryan,"76,201",12.8
24658,TX Brownsville,"4,627",14.9
24659,TX El Paso,"4,197",13.1
24660,TX Denton,"5,558",8.0
24661,TX Denton,"5,726",9.3
24662,TX Dallas,116,14.6
24664,TX Dallas,"3,933",10.3
24665,TX Dallas,"4,606",12.7
24666,TX Frisco,723,5.3
24667,TX Dallas,"1,195",4.1
24668,TX El Paso,"6,289",12.5
24669,TX Dallas,"5,378",12.4
24670,TX El Paso,"5,548",14.3
24672,TX Dallas,"6,355",8.8
24673,TX Fort Worth,"10,823",5.5
24674,TX Dallas,"5,081",7.9
24675,TX El Paso,"5,732",24.4
24677,TX Dallas,"2,459",8.1
24678,TX Fort Worth,"3,176",13.4
24679,TX Dallas,"1,559",23.5
24680,TX Dallas,"5,206",23.4
24682,TX Edinburg,"15,955",9.6
24683,TX Dallas,"5,812",19.6
24684,TX Fort Worth,"3,048",20.9
24685,TX Dallas,"3,261",7.7
24686,TX El Paso,"4,811",9.1
24687,TX Frisco,"4,454",5.7
24688,TX El Paso,"4,761",14.9
24689,TX Dallas,887,7.4
24690,TX Dallas,"4,009",6.4
24691,TX El Paso,"4,515",17.0
24692,TX Dallas,"3,451",8.6
24693,TX El Paso,"7,034",11.1
24694,TX Dallas,"3,424",15.5
24695,TX Fort Worth,"7,387",9.0
24696,TX Fort Worth,"5,449",15.7
24697,TX Dallas,"2,724",9.6
24698,TX Dallas,"1,085",6.1
24699,TX Denton,499,8.6
24700,TX Dallas,"3,465",5.6
24701,TX Fort Worth,"11,069",6.3
24702,TX El Paso,"6,989",10.1
24703,TX Dallas,"4,101",23.7
24704,TX Fort Worth,"5,950",15.0
24705,TX El Paso,"4,594",16.1
24706,TX Dallas,"2,260",7.1
24707,TX Dallas,"2,269",10.1
24708,TX El Paso,"5,799",21.8
24709,TX El Paso,"2,431",3.5
24710,TX Dallas,"1,947",10.9
24711,TX Dallas,"5,729",15.5
24713,TX Fort Worth,"5,815",14.7
24714,TX Dallas,"3,297",13.4
24715,TX Dallas,"8,463",14.8
24717,TX Dallas,"2,067",6.7
24718,TX Dallas,76,12.8
24719,TX Dallas,"3,481",11.7
24720,TX Fort Worth,"3,546",24.1
24721,TX Edinburg,"5,298",11.9
24722,TX Dallas,"3,328",12.8
24723,TX Dallas,"2,583",23.4
24724,TX Fort Worth,"17,241",6.6
24725,TX Dallas,"3,213",12.7
24726,TX Fort Worth,"2,643",16.7
24727,TX Dallas,"3,849",22.8
24729,TX El Paso,"4,861",13.0
24730,TX El Paso,"3,614",17.6
24731,TX Dallas,"2,462",9.0
24732,TX El Paso,"3,043",22.3
24733,TX Dallas,"6,507",6.0
24734,TX El Paso,"5,021",10.6
24735,TX Frisco,"2,815",6.9
